Characteristic,Total,Public Total Number,Public Number MOE,Public Total Percent,Public Percent MOE,Medicare Number,Medicare Number MOE,Medicare Percent,Medicare Percent MOE,Medicaid Number,Medicaid Number MOE,Medicaid Percent,Medicaid Percent MOE,VA/CHAMPVA Number,VA/CHAMPVA Number MOE,VA/CHAMPVA Percent,VA/CHAMPVA Percent MOE
....45 to 64 years,"81,744","14,407",382,17.6,0.5,"5,216",227.0,6.4,0.3,"9,971",302.0,12.2,0.4,903,85.0,1.1,0.1
65 and over,"54,642","51,249",312,93.8,0.3,"51,174",310.0,93.7,0.3,"3,279",181.0,6.0,0.3,"1,405",115.0,2.6,0.2
Sex,,,,,,,,,,,,,,,,,
Male,"159,103","51,667",542,32.5,0.3,"26,881",327.0,16.9,0.2,"26,229",517.0,16.5,0.3,"2,196",145.0,1.4,0.1
Female,"165,446","59,021",576,35.7,0.3,"31,898",203.0,19.3,0.1,"29,623",540.0,17.9,0.3,"1,025",92.0,0.6,0.1
Nativity,,,,,,,,,,,,,,,,,
Native-born,"279,653","96,843",910,34.6,0.3,"51,642",452.0,18.5,0.2,"48,099",852.0,17.2,0.3,"3,067",187.0,1.1,0.1
Foreign-born,"44,897","13,844",388,30.8,0.7,"7,137",231.0,15.9,0.5,"7,753",331.0,17.3,0.7,153,36.0,0.3,0.1
..Naturalized citizen,"22,750","8,334",271,36.6,1.0,"5,641",208.0,24.8,0.8,"3,486",203.0,15.3,0.8,128,32.0,0.6,0.1
..Not a citizen,"22,147","5,511",245,24.9,1.0,"1,496",107.0,6.8,0.5,"4,267",237.0,19.3,1.0,25,12.0,0.1,0.1
Region,,,,,,,,,,,,,,,,,
Northeast,"55,080","19,797",465,35.9,0.9,"10,434",256.0,18.9,0.5,"10,340",396.0,18.8,0.7,321,58.0,0.6,0.1
Midwest,"67,486","22,640",520,33.5,0.8,"12,647",279.0,18.7,0.4,"10,694",427.0,15.8,0.6,660,84.0,1.0,0.1
South,"124,084","40,697",593,32.8,0.5,"22,619",360.0,18.2,0.3,"19,294",546.0,15.5,0.4,"1,392",116.0,1.1,0.1
West,"77,900","27,553",564,35.4,0.7,"13,079",294.0,16.8,0.4,"15,524",515.0,19.9,0.7,848,86.0,1.1,0.1
Household Income,,,,,,,,,,,,,,,,,
"Less than $25,000","37,401","26,537",616,71.0,0.8,"13,177",343.0,35.2,0.8,"16,038",524.0,42.9,1.0,419,54.0,1.1,0.1
"$25,000 to less than $50,000","56,136","31,011",721,55.2,0.8,"14,753",439.0,26.3,0.7,"17,130",587.0,30.5,0.8,776,84.0,1.4,0.1
"$50,000 to less than $75,000","52,801","20,048",615,38.0,0.9,"10,167",332.0,19.3,0.5,"10,187",452.0,19.3,0.7,656,94.0,1.2,0.2
"$75,000 to less than $100,000","42,800","11,210",437,26.2,0.8,"6,277",271.0,14.7,0.6,"5,078",315.0,11.9,0.7,425,65.0,1.0,0.1
"$100,000 to less than $125,000","35,355","7,484",362,21.2,0.8,"4,497",236.0,12.7,0.6,"3,020",258.0,8.5,0.6,287,51.0,0.8,0.1
"$125,000 to less than $150,000","24,084","4,175",273,17.3,1.0,"2,703",200.0,11.2,0.7,"1,426",181.0,5.9,0.7,218,52.0,0.9,0.2
"$150,000 or more","75,972","10,223",379,13.5,0.4,"7,206",304.0,9.5,0.4,"2,972",216.0,3.9,0.3,440,73.0,0.6,0.1
Work Experience,,,,,,,,,,,,,,,,,
"....Total, 15 to 64 years old","210,228","38,248",668,18.2,0.3,"7,458",278.0,3.5,0.1,"31,611",609.0,15.0,0.3,"1,696",123.0,0.8,0.1
All workers,"157,181","17,526",409,11.2,0.3,"1,358",97.0,0.9,0.1,"15,454",391.0,9.8,0.2,"1,095",97.0,0.7,0.1
"..Worked full-time, year-round","112,803","7,934",254,7.0,0.2,487,57.0,0.4,0.1,"6,802",234.0,6.0,0.2,731,80.0,0.6,0.1
"..Less than full-time, year-round","44,379","9,592",303,21.6,0.6,871,84.0,2.0,0.2,"8,652",297.0,19.5,0.6,364,54.0,0.8,0.1
Did not work at least one week,"53,047","20,722",458,39.1,0.7,"6,100",258.0,11.5,0.5,"16,158",411.0,30.5,0.7,601,71.0,1.1,0.1
Disability Status7,,,,,,,,,,,,,,,,,
"....Total, 15 to 64 years old","210,228","38,248",668,18.2,0.3,"7,458",278.0,3.5,0.1,"31,611",609.0,15.0,0.3,"1,696",123.0,0.8,0.1
With disability,"15,056","7,891",272,52.4,1.3,"3,305",183.0,22.0,1.1,"5,603",227.0,37.2,1.2,379,52.0,2.5,0.3
Without disability,"194,194","30,326",567,15.6,0.3,"4,154",198.0,2.1,0.1,"26,003",531.0,13.4,0.3,"1,291",103.0,0.7,0.1
Education,,,,,,,,,,,,,,,,,
"....Total, 26 to 64 years old","163,666","28,084",565,17.2,0.3,"7,011",262.0,4.3,0.2,"21,874",489.0,13.4,0.3,"1,604",121.0,1.0,0.1
No high school diploma,"13,733","4,923",246,35.9,1.4,"1,205",112.0,8.8,0.8,"4,163",215.0,30.3,1.2,45,17.0,0.3,0.1
High school graduate (includes equivalency),"43,630","10,556",322,24.2,0.7,"2,691",174.0,6.2,0.4,"8,450",280.0,19.4,0.6,414,64.0,0.9,0.1
"Some college, no degree","24,315","4,785",195,19.7,0.8,"1,256",93.0,5.2,0.4,"3,577",168.0,14.7,0.7,376,53.0,1.5,0.2
Associate's degree,"17,998","2,848",166,15.8,0.8,679,73.0,3.8,0.4,"2,150",150.0,11.9,0.7,223,39.0,1.2,0.2
Bachelor's degree,"40,563","3,710",189,9.1,0.4,846,88.0,2.1,0.2,"2,673",167.0,6.6,0.4,400,62.0,1.0,0.2
Graduate degree or higher,"23,428","1,262",97,5.4,0.4,334,45.0,1.4,0.2,861,82.0,3.7,0.3,147,34.0,0.6,0.1
Firm Size,,,,,,,,,,,,,,,,,
"....Total, workers age 15 to 64","157,181","17,526",409,11.2,0.3,"1,358",97.0,0.9,0.1,"15,454",391.0,9.8,0.2,"1,095",97.0,0.7,0.1
Less than 25 employees,"50,400","7,710",260,15.3,0.5,516,69.0,1.0,0.1,"7,002",255.0,13.9,0.5,341,50.0,0.7,0.1
25 to 99 employees,"11,104","1,353",103,12.2,0.9,113,32.0,1.0,0.3,"1,170",96.0,10.5,0.9,85,28.0,0.8,0.3
100 to 499 employees,"18,226","1,634",116,9.0,0.6,133,30.0,0.7,0.2,"1,455",113.0,8.0,0.6,94,25.0,0.5,0.1
500 to 999 employees,"8,276",775,83,9.4,0.9,76,28.0,0.9,0.3,687,76.0,8.3,0.9,32,13.0,0.4,0.2
1000 or more employees,"69,176","6,054",230,8.8,0.3,520,58.0,0.8,0.1,"5,141",210.0,7.4,0.3,543,65.0,0.8,0.1
Income-to-Poverty Ratio,,,,,,,,,,,,,,,,,
"....Total, poverty universe","324,048","110,317",968,34.0,0.3,"58,778",408.0,18.1,0.1,"55,481",928.0,17.1,0.3,"3,221",188.0,1.0,0.1
Below 100 percent of poverty,"33,879","22,550",589,66.6,1.0,"6,441",258.0,19.0,0.7,"17,887",532.0,52.8,1.1,201,40.0,0.6,0.1
Below 138 percent of poverty,"52,816","34,825",693,65.9,0.8,"11,012",325.0,20.9,0.5,"26,546",607.0,50.3,0.8,367,53.0,0.7,0.1
Between 100 and 199 percent of poverty,"51,349","28,518",748,55.5,1.0,"11,730",376.0,22.8,0.6,"18,367",621.0,35.8,1.0,527,65.0,1.0,0.1
Between 200 and 299 percent of poverty,"48,924","18,273",544,37.3,0.9,"9,841",347.0,20.1,0.7,"8,858",410.0,18.1,0.7,641,76.0,1.3,0.2
Between 300 and 399 percent of poverty,"43,078","12,719",453,29.5,0.8,"7,629",318.0,17.7,0.6,"5,267",301.0,12.2,0.6,531,70.0,1.2,0.2
At or above 400 percent of poverty,"146,818","28,257",564,19.2,0.3,"23,139",494.0,15.8,0.3,"5,102",269.0,3.5,0.2,"1,320",114.0,0.9,0.1
Health Status,,,,,,,,,,,,,,,,,
Excellent,"105,551","22,419",582,21.2,0.5,"6,192",263.0,5.9,0.2,"16,115",516.0,15.3,0.5,459,75.0,0.4,0.1
Very Good,"106,446","29,235",636,27.5,0.5,"14,336",338.0,13.5,0.3,"15,018",524.0,14.1,0.5,796,97.0,0.7,0.1
Good,"78,889","35,394",617,44.9,0.7,"20,957",374.0,26.6,0.4,"15,412",500.0,19.5,0.6,"1,143",93.0,1.4,0.1
Fair,"25,371","16,937",425,66.8,1.0,"12,313",352.0,48.5,1.0,"6,499",265.0,25.6,0.9,594,73.0,2.3,0.3
Poor,"8,293","6,703",251,80.8,1.2,"4,981",203.0,60.1,1.6,"2,807",178.0,33.9,1.6,229,44.0,2.8,0.5
Marital Status,,,,,,,,,,,,,,,,,
"....Total, 19 to 64 years old","193,272","33,178",613,17.2,0.3,"7,365",269.0,3.8,0.1,"26,653",555.0,13.8,0.3,"1,662",120.0,0.9,0.1
Married,"100,795","12,279",373,12.2,0.4,"2,843",159.0,2.8,0.2,"9,349",327.0,9.3,0.3,809,79.0,0.8,0.1
Widowed,"3,319","1,111",85,33.5,2.3,471,61.0,14.2,1.8,732,70.0,22.1,2.0,57,21.0,1.7,0.6
Divorced,"18,290","4,315",172,23.6,0.9,"1,304",98.0,7.1,0.5,"3,136",151.0,17.1,0.8,358,61.0,2.0,0.3
Separated,"3,802","1,194",84,31.4,1.9,302,52.0,7.9,1.3,989,83.0,26.0,2.0,53,23.0,1.4,0.6
Never Married,"67,065","14,278",396,21.3,0.5,"2,447",178.0,3.6,0.3,"12,447",363.0,18.6,0.5,385,64.0,0.6,0.1
Residence,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"282,168","92,613","1,336",32.8,0.3,"48,766",755.0,17.3,0.2,"47,097",946.0,16.7,0.3,"2,585",167.0,0.9,0.1
..Inside principal cities,"104,632","36,355",918,34.7,0.6,"16,736",479.0,16.0,0.4,"21,211",729.0,20.3,0.6,920,104.0,0.9,0.1
..Outside principal cities,"177,536","56,258","1,175",31.7,0.5,"32,029",702.0,18.0,0.3,"25,886",765.0,14.6,0.4,"1,666",139.0,0.9,0.1
Outside metropolitan statistical areas 8,"42,382","18,074","1,281",42.6,1.1,"10,013",709.0,23.6,0.8,"8,755",756.0,20.7,1.0,636,97.0,1.5,0.2
"1 A margin of error (MOE) is a measure of an estimate's variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval.
MOEs shown in this table are based on standard errors calculated using replicate weights.",,,,,,,,,,,,,,,,,
"2 In the CPS ASEC, persons are considered to be uninsured if they were uninsured for the entire year.",,,,,,,,,,,,,,,,,
"3 Federal surveys now give respondents the option of reporting more than one race. Therefore, two basic ways of defining a race group are possible. A group such as Asian may be defined as those who reported Asian and no other race (the race-alone
or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept). This table shows data using the first approach (race alone). The use of the single-race population
does not imply that it is the preferred method of presenting or analyzing data.  The Census Bureau uses a variety of approaches. Data for American Indians and Alaska Natives, Native Hawaiians and Other Pacific Islanders,
and those reporting two or more races are not shown separately.",,,,,,,,,,,,,,,,,
4 Children under the age of 19 are eligible for Medicaid/CHIP.,,,,,,,,,,,,,,,,,
5 Children born after the reference year are not in universe.,,,,,,,,,,,,,,,,,
6 This age group is of special interest because of the Affordable Care Act's dependent coverage provision. Individuals aged 19 to 25 years may be eligible to be a dependent on a parent's health insurance plan.,,,,,,,,,,,,,,,,,
7 The sum of those with and without a disability does not equal the total because disability status is not defined for individuals in the U.S. armed forces.,,,,,,,,,,,,,,,,,
"8 The ""Outside metropolitan statistical areas"" category includes both micropolitan statistical areas and territory outside of metropolitan and micropolitan statistical areas. For more information, see ""About Metropolitan and Micropolitan Statistical Areas"" at
<www.census.gov/programs-surveys/metro-micro.html>.",,,,,,,,,,,,,,,,,
