Characteristic,Total,Public Total Number,Public Number MOE,Public Total Percent,Public Percent MOE,Medicare Number,Medicare Number MOE,Medicare Percent,Medicare Percent MOE,Medicaid Number,Medicaid Number MOE,Medicaid Percent,Medicaid Percent MOE,VA/CHAMPVA Number,VA/CHAMPVA Number MOE,VA/CHAMPVA Percent,VA/CHAMPVA Percent MOE
Good,"85,448","37,321",654,43.7,0.6,"21,487",386.0,25.1,0.4,"17,216",538,20.1,0.5,"1,188",109.0,1.4,0.1
Fair,"27,941","18,472",419,66.1,0.9,"12,795",341.0,45.8,1.0,"7,833",266,28.0,0.7,664,78.0,2.4,0.3
Poor,"8,820","6,966",267,79.0,1.3,"5,086",225.0,57.7,1.7,"3,080",179,34.9,1.5,257,47.0,2.9,0.5
Marital Status,,,,,,,,,,,,,,,,,
"....Total, 19 to 64 years old","194,855","36,483",608,18.7,0.3,"7,383",308.0,3.8,0.2,"30,071",562,15.4,0.3,"1,789",141.0,0.9,0.1
Married,"99,078","13,306",368,13.4,0.4,"2,404",152.0,2.4,0.2,"10,730",345,10.8,0.3,872,102.0,0.9,0.1
Widowed,"3,267","1,180",92,36.1,2.4,481,68.0,14.7,2.0,813,76,24.9,2.1,69,25.0,2.1,0.8
Divorced,"18,138","4,688",237,25.8,1.1,"1,423",130.0,7.8,0.7,"3,482",197,19.2,1.0,397,59.0,2.2,0.3
Separated,"3,898","1,134",99,29.1,2.3,240,46.0,6.2,1.1,925,88,23.7,2.2,49,21.0,1.3,0.5
Never Married,"70,474","16,175",411,23.0,0.5,"2,834",193.0,4.0,0.3,"14,121",382,20.0,0.5,402,64.0,0.6,0.1
Residence,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"285,654","98,802","1,537",34.6,0.3,"50,078",768.0,17.5,0.2,"52,744","1,059",18.5,0.3,"2,572",173.0,0.9,0.1
..Inside principal cities,"104,508","38,539","1,031",36.9,0.7,"17,218",522.0,16.5,0.4,"23,142",814,22.1,0.6,865,99.0,0.8,0.1
..Outside principal cities,"181,145","60,263","1,255",33.3,0.5,"32,861",697.0,18.1,0.3,"29,602",845,16.3,0.4,"1,707",136.0,0.9,0.1
Outside metropolitan statistical areas 8,"42,420","18,293","1,275",43.1,1.1,"10,147",716.0,23.9,0.7,"9,196",718,21.7,1.0,579,100.0,1.4,0.2
Z Rounds to zero.,,,,,,,,,,,,,,,,,
"1 A margin of error (MOE) is a measure of an estimate's variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval.
MOEs shown in this table are based on standard errors calculated using replicate weights.",,,,,,,,,,,,,,,,,
"2 In the CPS ASEC, persons are considered to be uninsured if they were uninsured for the entire year.",,,,,,,,,,,,,,,,,
"3 Federal surveys give respondents the option of reporting more than one race. Therefore, two basic ways of defining a race group are possible. A group such as Asian may be defined as those who reported Asian and no other race (the race-alone
or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept). This table shows data using the first approach (race alone). The use of the single-race population
does not imply that it is the preferred method of presenting or analyzing data.  The Census Bureau uses a variety of approaches. Data for American Indians and Alaska Natives, Native Hawaiians and Other Pacific Islanders,
and those reporting two or more races are not shown separately.",,,,,,,,,,,,,,,,,
4 Children under the age of 19 are eligible for Medicaid/CHIP.,,,,,,,,,,,,,,,,,
5 Children born after the reference year are not in universe.,,,,,,,,,,,,,,,,,
6 This age group is of special interest because of the Affordable Care Act's dependent coverage provision. Individuals aged 19 to 25 years may be eligible to be a dependent on a parent's health insurance plan.,,,,,,,,,,,,,,,,,
7 The sum of those with and without a disability does not equal the total because disability status is not defined for individuals in the U.S. armed forces.,,,,,,,,,,,,,,,,,
"8 The ""Outside metropolitan statistical areas"" category includes both micropolitan statistical areas and territory outside of metropolitan and micropolitan statistical areas. For more information, see ""About Metropolitan and Micropolitan Statistical Areas"" at
<www.census.gov/programs-surveys/metro-micro.html>.",,,,,,,,,,,,,,,,,
