Characteristic,Total,Uninsured Number,Uninsured Number MOE,Uninsured Percent,Uninsured Percent MOE
100 to 499 employees,"19,236","1,456",109.0,7.6,0.5
500 to 999 employees,"8,037",502,63.0,6.2,0.7
1000 or more employees,"67,344","4,275",189.0,6.3,0.3
Income-to-Poverty Ratio,,,,,
"Total, poverty universe","323,172","27,415",628.0,8.5,0.2
Below 100 percent of poverty,"38,056","6,212",278.0,16.3,0.6
Below 138 percent of poverty,"58,204","9,082",361.0,15.6,0.6
Between 100 and 200 percent of poverty,"55,302","7,519",354.0,13.6,0.6
Between 200 and 300 percent of poverty,"50,632","5,469",292.0,10.8,0.5
Between 300 and 400 percent of poverty,"43,624","3,546",203.0,8.1,0.4
At or above 400 percent of poverty,"135,559","4,669",239.0,3.4,0.2
Health Status,,,,,
Excellent,"102,864","7,649",360.0,7.4,0.3
Very Good,"103,563","8,362",308.0,8.1,0.3
Good,"81,074","8,607",322.0,10.6,0.4
Fair,"26,837","2,158",143.0,8.0,0.5
Poor,"9,331",686,85.0,7.4,0.9
Marital Status,,,,,
"Total, 19 to 64 years old","193,548","22,690",521.0,11.7,0.3
Married,"101,805","8,463",309.0,8.3,0.3
Widowed,"3,385",464,59.0,13.7,1.6
Divorced,"18,683","2,428",125.0,13.0,0.7
Separated,"4,200",835,92.0,19.9,2.0
Never Married,"65,475","10,500",331.0,16.0,0.5
Residence,,,,,
Inside metropolitan statistical areas,"281,369","23,605",592.0,8.4,0.2
.Inside principal cities,"104,716","10,078",463.0,9.6,0.4
.Outside principal cities,"176,653","13,527",446.0,7.7,0.2
Outside metropolitan statistical areas7,"42,300","3,857",397.0,9.1,0.7
Z represents zero or rounds to zero,,,,,
"1A margin of error (MOE) is a measure of an estimate's variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval. MOEs shown in this table are based on standard errors calculated using replicate weights. For more information, see ""Standard Errors and Their Use"" at <www2.census.gov/library/publications/2018/demo/p60-264sa.pdf>.",,,,,
"2 Federal surveys give respondents the option of reporting more than one race. Therefore, two basic ways of defining a race group are possible. A group such as Asian may be defined as those who reported Asian and no other race (the race-alone or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept). This table shows data using the first approach (race alone). The use of the single-race population does not imply that it is the preferred method of presenting or analyzing data. The Census Bureau uses a variety of approaches. Information on people who reported more than one race, such as White and American Indian and Alaska Native or Asian and Black or African American, is available from the 2010 Census through American FactFinder. About 2.9 percent of people reported more than one race in the 2010 Census. Data for American Indians and Alaska Natives, Native Hawaiians and Other Pacific Islanders, and those reporting two or more races are not shown separately.",,,,,
3Children under the age of 19 are eligible for Medicaid/CHIP.,,,,,
4Children born after the reference year are not in universe.,,,,,
5 Individuals aged 19 to 25 years may be eligible to be a dependent on a parent's health insurance plan.,,,,,
6The sum of those with and without a disability does not equal the total because disability status is not defined for individuals in the Armed Forces.,,,,,
"7The ""Outside metropolitan statistical areas"" category includes both micropolitan statistical areas and territory outside of metropolitan and micropolitan statistical areas.  For more information, see ""About Metropolitan and Micropolitan Statistical Areas"" at <www.census.gov/population/metro/about>.",,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2019 Annual Social and Economic Supplement.",,,,,
,,,,,
