Characteristic,Total,Public Total Number,Public Number MOE,Public Total Percent,Public Percent MOE,Medicare Number,Medicare Number MOE,Medicare Percent,Medicare Percent MOE,Medicaid Number,Medicaid Number MOE,Medicaid Percent,Medicaid Percent MOE,VA/CHAMPVA Number,VA/CHAMPVA Number MOE,VA/CHAMPVA Percent,VA/CHAMPVA Percent MOE
..19 to 64 years,"193,646","34,305",631,17.7,0.3,"7,360",277.0,3.8,0.1,"27,920",581,14.4,0.3,"1,602",122.0,0.8,0.1
....19 to 25 years 6,"29,269","5,333",227,18.2,0.8,416,62.0,1.4,0.2,"4,948",216,16.9,0.7,100,32.0,0.3,0.1
....26 to 34 years,"40,916","7,456",243,18.2,0.6,867,103.0,2.1,0.3,"6,612",226,16.2,0.5,257,48.0,0.6,0.1
....35 to 44 years,"42,004","6,863",239,16.3,0.6,961,91.0,2.3,0.2,"5,960",224,14.2,0.5,353,51.0,0.8,0.1
....45 to 64 years,"81,457","14,653",372,18.0,0.4,"5,115",220.0,6.3,0.3,"10,400",310,12.8,0.4,892,84.0,1.1,0.1
65 and over,"55,836","52,265",286,93.6,0.3,"52,185",283.0,93.5,0.3,"3,523",180,6.3,0.3,"1,275",103.0,2.3,0.2
Sex,,,,,,,,,,,,,,,,,
Male,"159,691","52,586",545,32.9,0.3,"27,077",278.0,17.0,0.2,"27,109",493,17.0,0.3,"2,092",135.0,1.3,0.1
Female,"165,947","60,751",529,36.6,0.3,"32,767",228.0,19.7,0.1,"30,812",533,18.6,0.3,887,84.0,0.5,0.1
Nativity,,,,,,,,,,,,,,,,,
Native-born,"280,839","99,473",906,35.4,0.3,"52,431",435.0,18.7,0.1,"50,359",849,17.9,0.3,"2,815",165.0,1.0,0.1
Foreign-born,"44,799","13,863",372,30.9,0.7,"7,413",224.0,16.5,0.5,"7,562",310,16.9,0.6,164,38.0,0.4,0.1
..Naturalized citizen,"22,667","8,346",256,36.8,0.9,"5,747",209.0,25.4,0.8,"3,375",187,14.9,0.8,135,35.0,0.6,0.2
..Not a citizen,"22,132","5,517",255,24.9,1.0,"1,667",123.0,7.5,0.5,"4,187",235,18.9,1.0,29,13.0,0.1,0.1
Region,,,,,,,,,,,,,,,,,
Northeast,"54,771","20,684",511,37.8,0.9,"10,890",284.0,19.9,0.5,"10,878",434,19.9,0.8,243,44.0,0.4,0.1
Midwest,"67,436","22,600",451,33.5,0.7,"12,836",291.0,19.0,0.4,"10,531",395,15.6,0.6,645,85.0,1.0,0.1
South,"125,396","42,170",628,33.6,0.5,"23,070",358.0,18.4,0.3,"20,411",525,16.3,0.4,"1,313",119.0,1.0,0.1
West,"78,035","27,883",484,35.7,0.6,"13,049",276.0,16.7,0.3,"16,101",463,20.6,0.6,778,92.0,1.0,0.1
Household Income,,,,,,,,,,,,,,,,,
"Less than $25,000","41,274","29,120",705,70.6,0.8,"14,116",356.0,34.2,0.8,"17,830",603,43.2,0.9,411,54.0,1.0,0.1
"$25,000 to less than $50,000","55,310","30,569",678,55.3,0.7,"15,168",409.0,27.4,0.6,"16,470",507,29.8,0.7,612,77.0,1.1,0.1
"$50,000 to less than $75,000","52,757","20,239",578,38.4,0.8,"10,029",299.0,19.0,0.6,"10,575",492,20.0,0.8,638,81.0,1.2,0.2
"$75,000 to less than $100,000","42,567","11,863",513,27.9,0.9,"6,326",291.0,14.9,0.6,"5,730",362,13.5,0.7,411,64.0,1.0,0.2
"$100,000 to less than $125,000","34,538","7,404",341,21.4,0.9,"4,349",232.0,12.6,0.7,"3,090",239,8.9,0.6,297,73.0,0.9,0.2
"$125,000 to less than $150,000","24,031","4,305",284,17.9,1.0,"2,839",211.0,11.8,0.8,"1,425",155,5.9,0.6,177,47.0,0.7,0.2
"$150,000 or more","75,160","9,837",381,13.1,0.4,"7,018",308.0,9.3,0.4,"2,802",218,3.7,0.3,433,69.0,0.6,0.1
Work Experience,,,,,,,,,,,,,,,,,
"....Total, 15 to 64 years old","210,421","39,472",688,18.8,0.3,"7,439",280.0,3.5,0.1,"33,012",640,15.7,0.3,"1,627",123.0,0.8,0.1
All workers,"154,502","17,581",406,11.4,0.3,"1,262",112.0,0.8,0.1,"15,757",399,10.2,0.3,952,95.0,0.6,0.1
"..Worked full-time, year-round","99,588","6,090",223,6.1,0.2,452,70.0,0.5,0.1,"5,176",209,5.2,0.2,572,76.0,0.6,0.1
"..Less than full-time, year-round","54,913","11,491",312,20.9,0.5,810,84.0,1.5,0.2,"10,581",306,19.3,0.5,380,51.0,0.7,0.1
Did not work at least one week,"55,920","21,891",490,39.1,0.7,"6,177",254.0,11.0,0.4,"17,254",432,30.9,0.6,675,80.0,1.2,0.1
Disability Status7,,,,,,,,,,,,,,,,,
"....Total, 15 to 64 years old","210,421","39,472",688,18.8,0.3,"7,439",280.0,3.5,0.1,"33,012",640,15.7,0.3,"1,627",123.0,0.8,0.1
With disability,"15,134","8,011",272,52.9,1.2,"3,268",176.0,21.6,1.0,"5,755",233,38.0,1.2,397,59.0,2.6,0.4
Without disability,"194,199","31,436",590,16.2,0.3,"4,169",199.0,2.1,0.1,"27,242",558,14.0,0.3,"1,220",109.0,0.6,0.1
Education,,,,,,,,,,,,,,,,,
"....Total, 26 to 64 years old","164,377","28,972",565,17.6,0.3,"6,943",262.0,4.2,0.2,"22,972",517,14.0,0.3,"1,502",116.0,0.9,0.1
No high school diploma,"13,758","4,866",211,35.4,1.3,"1,096",96.0,8.0,0.7,"4,180",199,30.4,1.2,44,17.0,0.3,0.1
High school graduate (includes equivalency),"43,850","11,312",341,25.8,0.7,"2,977",155.0,6.8,0.3,"9,070",313,20.7,0.7,381,62.0,0.9,0.1
"Some college, no degree","23,885","4,867",199,20.4,0.8,"1,135",94.0,4.8,0.4,"3,748",186,15.7,0.7,363,51.0,1.5,0.2
Associate's degree,"17,799","2,933",160,16.5,0.8,635,72.0,3.6,0.4,"2,278",142,12.8,0.7,241,42.0,1.4,0.2
Bachelor's degree,"41,047","3,594",178,8.8,0.4,759,76.0,1.8,0.2,"2,711",149,6.6,0.3,325,55.0,0.8,0.1
Graduate degree or higher,"24,039","1,400",114,5.8,0.5,341,55.0,1.4,0.2,986,92,4.1,0.4,147,35.0,0.6,0.1
Firm Size,,,,,,,,,,,,,,,,,
"....Total, workers 15 to 64 years old","154,502","17,581",406,11.4,0.3,"1,262",112.0,0.8,0.1,"15,757",399,10.2,0.3,952,95.0,0.6,0.1
Less than 25 employees,"49,165","7,518",253,15.3,0.5,508,62.0,1.0,0.1,"6,959",246,14.2,0.5,231,37.0,0.5,0.1
25 to 99 employees,"10,433","1,188",108,11.4,1.0,72,24.0,0.7,0.2,"1,076",103,10.3,0.9,64,26.0,0.6,0.2
100 to 499 employees,"17,606","1,706",116,9.7,0.6,112,30.0,0.6,0.2,"1,513",109,8.6,0.6,97,32.0,0.6,0.2
500 to 999 employees,"7,961",756,68,9.5,0.8,39,18.0,0.5,0.2,681,64,8.6,0.8,43,17.0,0.5,0.2
1000 or more employees,"69,336","6,414",224,9.2,0.3,531,69.0,0.8,0.1,"5,529",220,8.0,0.3,516,68.0,0.7,0.1
Income-to-Poverty Ratio,,,,,,,,,,,,,,,,,
"....Total, poverty universe","325,156","112,956",909,34.7,0.3,"59,841",392.0,18.4,0.1,"57,540",878,17.7,0.3,"2,979",175.0,0.9,0.1
Below 100 percent of poverty,"37,156","23,875",646,64.3,1.0,"6,611",274.0,17.8,0.7,"19,083",601,51.4,1.1,223,41.0,0.6,0.1
Below 138 percent of poverty,"56,337","36,375",781,64.6,0.8,"11,581",349.0,20.6,0.6,"27,554",727,48.9,0.9,379,55.0,0.7,0.1
Between 100 and 199 percent of poverty,"52,336","29,783",688,56.9,0.8,"12,945",350.0,24.7,0.6,"18,576",594,35.5,0.8,540,76.0,1.0,0.1
Between 200 and 299 percent of poverty,"50,389","19,559",599,38.8,0.8,"10,154",339.0,20.2,0.6,"10,072",469,20.0,0.7,500,68.0,1.0,0.1
Between 300 and 399 percent of poverty,"41,655","12,263",418,29.4,0.8,"7,747",291.0,18.6,0.6,"4,743",290,11.4,0.6,428,75.0,1.0,0.2
At or above 400 percent of poverty,"143,620","27,476",516,19.1,0.3,"22,384",475.0,15.6,0.3,"5,066",251,3.5,0.2,"1,288",120.0,0.9,0.1
Health Status,,,,,,,,,,,,,,,,,
Excellent,"101,776","22,710",556,22.3,0.5,"6,049",246.0,5.9,0.2,"16,737",507,16.4,0.5,390,65.0,0.4,0.1
Very Good,"105,451","30,117",602,28.6,0.5,"15,158",383.0,14.4,0.3,"15,172",481,14.4,0.4,610,75.0,0.6,0.1
Good,"82,845","35,965",711,43.4,0.6,"21,282",426.0,25.7,0.4,"15,896",519,19.2,0.5,"1,063",103.0,1.3,0.1
Fair,"26,794","17,647",425,65.9,0.9,"12,305",347.0,45.9,1.1,"7,163",291,26.7,0.9,674,78.0,2.5,0.3
Poor,"8,772","6,897",279,78.6,1.3,"5,050",238.0,57.6,1.7,"2,952",171,33.7,1.6,242,43.0,2.8,0.5
Marital Status,,,,,,,,,,,,,,,,,
"....Total, 19 to 64 years old","193,646","34,305",631,17.7,0.3,"7,360",277.0,3.8,0.1,"27,920",581,14.4,0.3,"1,602",122.0,0.8,0.1
Married,"98,821","12,204",371,12.3,0.4,"2,766",159.0,2.8,0.2,"9,376",325,9.5,0.3,824,91.0,0.8,0.1
Widowed,"3,304","1,078",96,32.6,2.4,488,66.0,14.8,1.9,702,76,21.2,2.0,42,17.0,1.3,0.5
Divorced,"18,486","4,594",201,24.9,0.9,"1,346",103.0,7.3,0.5,"3,407",165,18.4,0.8,328,56.0,1.8,0.3
Separated,"3,738","1,109",86,29.7,2.0,220,40.0,5.9,1.1,959,84,25.6,2.0,42,17.0,1.1,0.4
Never Married,"69,297","15,320",385,22.1,0.5,"2,539",159.0,3.7,0.2,"13,477",362,19.4,0.5,366,57.0,0.5,0.1
Residence,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"283,350","95,257","1,473",33.6,0.3,"49,594",806.0,17.5,0.2,"49,293","1,037",17.4,0.3,"2,380",154.0,0.8,0.1
..Inside principal cities,"105,778","37,669",918,35.6,0.6,"16,873",482.0,16.0,0.3,"22,621",743,21.4,0.6,809,96.0,0.8,0.1
..Outside principal cities,"177,572","57,588","1,162",32.4,0.4,"32,721",692.0,18.4,0.3,"26,672",796,15.0,0.4,"1,571",117.0,0.9,0.1
Outside metropolitan statistical areas 8,"42,288","18,080","1,335",42.8,1.1,"10,250",731.0,24.2,0.7,"8,628",776,20.4,1.0,599,88.0,1.4,0.2
Z Rounds to zero.,,,,,,,,,,,,,,,,,
"1 A margin of error (MOE) is a measure of an estimate's variability. The larger the MOE in relation to the size of the estimate, the less reliable the estimate. This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval.
MOEs shown in this table are based on standard errors calculated using replicate weights.",,,,,,,,,,,,,,,,,
"2 In the CPS ASEC, persons are considered to be uninsured if they were uninsured for the entire year.",,,,,,,,,,,,,,,,,
"3 Federal surveys now give respondents the option of reporting more than one race. Therefore, two basic ways of defining a race group are possible. A group such as Asian may be defined as those who reported Asian and no other race (the race-alone
or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept). This table shows data using the first approach (race alone). The use of the single-race population
does not imply that it is the preferred method of presenting or analyzing data.  The Census Bureau uses a variety of approaches. Data for American Indians and Alaska Natives, Native Hawaiians and Other Pacific Islanders,
and those reporting two or more races are not shown separately.",,,,,,,,,,,,,,,,,
4 Children under the age of 19 are eligible for Medicaid/CHIP.,,,,,,,,,,,,,,,,,
5 Children born after the reference year are not in universe.,,,,,,,,,,,,,,,,,
6 This age group is of special interest because of the Affordable Care Act's dependent coverage provision. Individuals aged 19 to 25 years may be eligible to be a dependent on a parent's health insurance plan.,,,,,,,,,,,,,,,,,
7 The sum of those with and without a disability does not equal the total because disability status is not defined for individuals in the U.S. armed forces.,,,,,,,,,,,,,,,,,
"8 The ""Outside metropolitan statistical areas"" category includes both micropolitan statistical areas and territory outside of metropolitan and micropolitan statistical areas. For more information, see ""About Metropolitan and Micropolitan Statistical Areas"" at
<www.census.gov/programs-surveys/metro-micro.html>.",,,,,,,,,,,,,,,,,
