In unrelated subfamilies,"1,069",929,114,86.9,3.4,534,81,50.0,5.1,478,78,44.7,5.1,55,23,5.1,2.1,19,13,1.8,1.2,453,74,42.4,4.6,37,19,3.4,1.7,419,71,39.2,4.7,11,11,1.1,1.0,141,38,13.1,3.4
Unrelated individuals,"61,264","54,482",789,88.9,0.4,"37,700",623,61.5,0.6,"28,677",538,46.8,0.6,"8,904",274,14.5,0.4,969,95,1.6,0.2,"24,882",475,40.6,0.5,"18,440",371,30.1,0.5,"8,322",287,13.6,0.4,"1,152",100,1.9,0.2,"6,782",263,11.1,0.4
Race2 and Hispanic Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,"247,472","227,127",527,91.8,0.2,"171,563",993,69.3,0.4,"139,718","1,005",56.5,0.4,"28,486",573,11.5,0.2,"6,535",426,2.6,0.2,"83,728",821,33.8,0.3,"47,783",351,19.3,0.1,"38,703",742,15.6,0.3,"2,504",160,1.0,0.1,"20,345",548,8.2,0.2
"..White, not Hispanic","194,679","184,107",413,94.6,0.2,"145,560",812,74.8,0.4,"117,976",854,60.6,0.4,"24,720",533,12.7,0.3,"5,645",371,2.9,0.2,"64,676",676,33.2,0.3,"43,289",354,22.2,0.2,"23,397",550,12.0,0.3,"2,261",149,1.2,0.1,"10,571",406,5.4,0.2
Black,"42,758","38,618",212,90.3,0.5,"23,705",466,55.4,1.1,"20,147",496,47.1,1.2,"2,845",167,6.7,0.4,"1,055",150,2.5,0.3,"17,598",401,41.2,0.9,"6,208",159,14.5,0.4,"12,304",395,28.8,0.9,481,71,1.1,0.2,"4,141",206,9.7,0.5
Asian,"19,770","18,422",235,93.2,0.6,"14,456",309,73.1,1.3,"11,715",310,59.3,1.4,"2,617",199,13.2,1.0,375,69,1.9,0.3,"5,155",221,26.1,1.1,"2,511",94,12.7,0.5,"3,024",215,15.3,1.1,83,23,0.4,0.1,"1,348",125,6.8,0.6
Hispanic (any race),"59,925","49,236",352,82.2,0.6,"29,749",571,49.6,1.0,"24,934",506,41.6,0.8,"4,274",236,7.1,0.4,"1,008",138,1.7,0.2,"21,871",469,36.5,0.8,"5,032",114,8.4,0.2,"17,713",475,29.6,0.8,279,44,0.5,0.1,"10,688",354,17.8,0.6
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under age 65,"270,881","243,910",671,90.0,0.2,"190,109","1,173",70.2,0.4,"164,501","1,254",60.7,0.5,"22,354",585,8.3,0.2,"6,663",467,2.5,0.2,"61,683",929,22.8,0.3,"8,146",301,3.0,0.1,"54,328",881,20.1,0.3,"2,007",143,0.7,0.1,"26,971",619,10.0,0.2
.Under age 193,"77,333","73,052",284,94.5,0.3,"47,817",541,61.8,0.7,"41,980",557,54.3,0.7,"4,521",240,5.8,0.3,"1,955",185,2.5,0.2,"27,578",529,35.7,0.7,304,78,0.4,0.1,"27,283",538,35.3,0.7,75,34,0.1,Z,"4,281",222,5.5,0.3
..Under 3 years4,"10,963","10,263",113,93.6,0.7,"6,382",136,58.2,1.2,"5,612",142,51.2,1.3,500,62,4.6,0.6,387,61,3.5,0.6,"4,191",146,38.2,1.3,33,16,0.3,0.1,"4,160",145,37.9,1.3,4,4,Z,Z,699,80,6.4,0.7
..3 to 5 years,"12,083","11,568",134,95.7,0.5,"7,293",165,60.4,1.2,"6,404",158,53.0,1.2,646,62,5.3,0.5,346,53,2.9,0.4,"4,648",155,38.5,1.2,36,16,0.3,0.1,"4,601",154,38.1,1.2,17,11,0.1,0.1,515,58,4.3,0.5
..6 to 11 years,"24,514","23,326",125,95.2,0.4,"15,038",226,61.3,0.9,"13,312",252,54.3,1.0,"1,407",108,5.7,0.4,533,64,2.2,0.3,"8,981",234,36.6,0.9,97,33,0.4,0.1,"8,878",235,36.2,0.9,27,20,0.1,0.1,"1,188",96,4.8,0.4
..12 to 18 years,"29,774","27,895",194,93.7,0.4,"19,104",286,64.2,0.9,"16,653",284,55.9,0.9,"1,968",135,6.6,0.5,690,91,2.3,0.3,"9,759",251,32.8,0.8,139,41,0.5,0.1,"9,645",252,32.4,0.8,27,14,0.1,Z,"1,878",121,6.3,0.4
. Aged 19 to 64 years,"193,548","170,857",577,88.3,0.3,"142,291",795,73.5,0.4,"122,521",878,63.3,0.5,"17,833",446,9.2,0.2,"4,707",322,2.4,0.2,"34,104",610,17.6,0.3,"7,842",282,4.1,0.1,"27,045",536,14.0,0.3,"1,933",135,1.0,0.1,"22,690",521,11.7,0.3
.Aged 19 to 255,"29,297","25,105",252,85.7,0.6,"20,492",300,69.9,0.9,"17,278",319,59.0,1.0,"2,833",167,9.7,0.6,911,139,3.1,0.5,"5,366",212,18.3,0.7,463,71,1.6,0.2,"4,921",206,16.8,0.7,151,42,0.5,0.1,"4,192",195,14.3,0.6
.Aged 26 to 34 years,"40,768","35,082",273,86.1,0.5,"29,084",355,71.3,0.8,"25,418",367,62.3,0.8,"3,200",179,7.8,0.4,"1,118",117,2.7,0.3,"7,127",239,17.5,0.6,836,90,2.1,0.2,"6,272",208,15.4,0.5,333,45,0.8,0.1,"5,686",214,13.9,0.5
.Aged 35 to 44 years,"41,027","35,915",209,87.5,0.5,"30,252",261,73.7,0.6,"26,707",302,65.1,0.7,"3,254",159,7.9,0.4,837,86,2.0,0.2,"6,665",213,16.2,0.5,"1,082",96,2.6,0.2,"5,663",202,13.8,0.5,362,51,0.9,0.1,"5,112",207,12.5,0.5
.Aged 45 to 64 years,"82,455","74,754",344,90.7,0.3,"62,462",450,75.8,0.5,"53,118",491,64.4,0.6,"8,546",283,10.4,0.3,"1,842",149,2.2,0.2,"14,945",356,18.1,0.4,"5,461",211,6.6,0.3,"10,189",291,12.4,0.4,"1,088",95,1.3,0.1,"7,701",254,9.3,0.3
Aged 65 and older,"52,788","52,296",261,99.1,0.1,"27,671",411,52.4,0.7,"13,849",304,26.2,0.5,"12,492",335,23.7,0.6,"1,874",136,3.6,0.3,"49,647",280,94.1,0.3,"49,573",280,93.9,0.3,"3,491",169,6.6,0.3,"1,209",106,2.3,0.2,491,66,0.9,0.1
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,"158,689","143,774",393,90.6,0.2,"107,726",683,67.9,0.4,"88,629",696,55.9,0.4,"16,634",397,10.5,0.2,"4,509",267,2.8,0.2,"51,598",533,32.5,0.3,"26,089",288,16.4,0.2,"26,778",478,16.9,0.3,"2,278",133,1.4,0.1,"14,915",380,9.4,0.2
Female,"164,980","152,432",333,92.4,0.2,"110,053",667,66.7,0.4,"89,721",686,54.4,0.4,"18,212",351,11.0,0.2,"4,028",264,2.4,0.2,"59,732",537,36.2,0.3,"31,631",200,19.2,0.1,"31,041",523,18.8,0.3,938,87,0.6,0.1,"12,548",335,7.6,0.2
Nativity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native-born,"277,848","259,061",802,93.2,0.2,"192,111","1,232",69.1,0.4,"158,180","1,223",56.9,0.4,"29,494",571,10.6,0.2,"7,963",489,2.9,0.2,"97,056",944,34.9,0.3,"50,643",444,18.2,0.2,"49,428",847,17.8,0.3,"3,076",177,1.1,0.1,"18,787",521,6.8,0.2
Foreign-born,"45,820","37,145",603,81.1,0.6,"25,668",512,56.0,0.9,"20,170",483,44.0,0.9,"5,353",240,11.7,0.5,574,74,1.3,0.2,"14,274",404,31.2,0.7,"7,077",224,15.4,0.5,"8,391",351,18.3,0.7,140,30,0.3,0.1,"8,675",325,18.9,0.6
.Naturalized citizen,"22,296","20,340",436,91.2,0.6,"14,275",372,64.0,1.0,"11,380",316,51.0,0.9,"2,672",159,12.0,0.7,410,56,1.8,0.2,"8,118",272,36.4,1.0,"5,361",202,24.0,0.8,"3,616",202,16.2,0.8,110,26,0.5,0.1,"1,956",136,8.8,0.6
.Not a citizen,"23,524","16,805",454,71.4,1.0,"11,393",355,48.4,1.1,"8,790",337,37.4,1.1,"2,680",171,11.4,0.7,164,36,0.7,0.2,"6,156",282,26.2,1.0,"1,716",123,7.3,0.5,"4,775",247,20.3,0.9,31,13,0.1,0.1,"6,719",295,28.6,1.0
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"55,266","52,474",320,94.9,0.5,"38,378",500,69.4,0.9,"32,339",488,58.5,0.9,"5,980",304,10.8,0.5,756,246,1.4,0.4,"20,411",439,36.9,0.8,"10,452",264,18.9,0.5,"11,116",397,20.1,0.7,392,64,0.7,0.1,"2,792",264,5.1,0.5
Midwest,"67,458","63,633",326,94.3,0.4,"49,126",541,72.8,0.8,"41,467",569,61.5,0.8,"7,412",299,11.0,0.4,"1,033",126,1.5,0.2,"22,469",507,33.3,0.7,"12,309",302,18.2,0.4,"10,901",409,16.2,0.6,697,86,1.0,0.1,"3,825",245,5.7,0.4
South,"123,391","108,513",492,87.9,0.4,"79,176",750,64.2,0.6,"62,863",762,50.9,0.6,"13,054",446,10.6,0.4,"4,783",416,3.9,0.3,"40,842",548,33.1,0.4,"22,164",318,18.0,0.3,"19,869",495,16.1,0.4,"1,410",124,1.1,0.1,"14,878",444,12.1,0.4
West,"77,553","71,586",339,92.3,0.4,"51,099",659,65.9,0.8,"41,680",649,53.7,0.8,"8,400",315,10.8,0.4,"1,965",172,2.5,0.2,"27,608",554,35.6,0.7,"12,795",283,16.5,0.4,"15,933",492,20.5,0.6,718,73,0.9,0.1,"5,967",284,7.7,0.4
Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Less than $25,000","43,320","37,345",711,86.2,0.6,"10,704",351,24.7,0.8,"5,764",277,13.3,0.6,"4,621",218,10.7,0.5,540,89,1.2,0.2,"30,840",663,71.2,0.7,"14,625",354,33.8,0.7,"19,241",578,44.4,0.9,527,65,1.2,0.2,"5,976",274,13.8,0.6
"$25,000 to less than $50,000","59,133","51,878",959,87.7,0.5,"28,319",690,47.9,0.8,"19,695",565,33.3,0.8,"7,787",357,13.2,0.6,"1,339",182,2.3,0.3,"31,587",712,53.4,0.8,"14,876",383,25.2,0.6,"17,505",582,29.6,0.8,819,90,1.4,0.2,"7,255",335,12.3,0.5
"$50,000 to less than $75,000","55,304","49,365",876,89.3,0.5,"36,468",679,65.9,0.8,"28,613",601,51.7,0.8,"6,830",292,12.3,0.5,"1,682",185,3.0,0.3,"19,848",572,35.9,0.8,"10,160",349,18.4,0.6,"10,022",446,18.1,0.7,644,78,1.2,0.1,"5,939",319,10.7,0.5
"$75,000 to less than $100,000","44,539","41,377",840,92.9,0.5,"34,967",739,78.5,0.8,"29,589",702,66.4,1.0,"4,619",270,10.4,0.6,"1,398",184,3.1,0.4,"10,929",426,24.5,0.8,"5,936",264,13.3,0.5,"5,069",295,11.4,0.6,443,60,1.0,0.1,"3,162",214,7.1,0.5
"$100,000 to less than $125,000","34,142","32,217",844,94.4,0.5,"28,748",753,84.2,0.8,"25,042",720,73.3,0.9,"3,134",222,9.2,0.7,"1,114",167,3.3,0.5,"6,471",322,19.0,0.8,"3,809",219,11.2,0.6,"2,655",239,7.8,0.6,308,51,0.9,0.1,"1,924",181,5.6,0.5
"$125,000 to less than $150,000","23,291","22,148",644,95.1,0.6,"20,250",601,86.9,0.9,"17,558",576,75.4,1.1,"2,299",173,9.9,0.7,733,110,3.1,0.5,"3,718",229,16.0,0.8,"2,504",173,10.8,0.7,"1,193",133,5.1,0.5,182,57,0.8,0.2,"1,143",135,4.9,0.6
"$150,000 or more","63,939","61,876","1,161",96.8,0.3,"58,324","1,116",91.2,0.4,"52,089","1,077",81.5,0.6,"5,555",297,8.7,0.4,"1,734",153,2.7,0.2,"7,937",338,12.4,0.5,"5,810",254,9.1,0.4,"2,134",202,3.3,0.3,294,54,0.5,0.1,"2,063",180,3.2,0.3
Work experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, 15 to 64 years old","210,794","186,905",609,88.7,0.3,"153,467",878,72.8,0.4,"132,196",938,62.7,0.4,"19,034",479,9.0,0.2,"5,119",352,2.4,0.2,"39,539",672,18.8,0.3,"7,924",283,3.8,0.1,"32,406",598,15.4,0.3,"1,953",137,0.9,0.1,"23,889",549,11.3,0.3
All workers,"155,221","138,618",693,89.3,0.3,"124,941",787,80.5,0.4,"110,375",848,71.1,0.4,"13,304",380,8.6,0.2,"3,634",258,2.3,0.2,"17,210",371,11.1,0.2,"1,251",114,0.8,0.1,"15,166",357,9.8,0.2,"1,189",95,0.8,0.1,"16,602",426,10.7,0.3
".Worked full-time, year-round","111,950","101,329",707,90.5,0.3,"95,296",739,85.1,0.4,"85,968",767,76.8,0.5,"8,177",260,7.3,0.2,"2,629",189,2.3,0.2,"8,013",241,7.2,0.2,486,68,0.4,0.1,"6,842",219,6.1,0.2,798,78,0.7,0.1,"10,621",341,9.5,0.3
"..Less than full-time, year-round","43,271","37,290",440,86.2,0.5,"29,645",428,68.5,0.7,"24,407",395,56.4,0.8,"5,127",226,11.8,0.5,"1,005",105,2.3,0.2,"9,197",264,21.3,0.6,766,77,1.8,0.2,"8,324",264,19.2,0.6,391,54,0.9,0.1,"5,982",232,13.8,0.5
Did not work at least one week,"55,573","48,286",545,86.9,0.4,"28,526",484,51.3,0.8,"21,821",403,39.3,0.7,"5,729",217,10.3,0.4,"1,485",138,2.7,0.2,"22,329",460,40.2,0.7,"6,673",250,12.0,0.4,"17,240",384,31.0,0.6,764,81,1.4,0.1,"7,286",248,13.1,0.4
Disability Status6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, 15 to 64 years old","210,794","186,905",609,88.7,0.3,"153,467",878,72.8,0.4,"132,196",938,62.7,0.4,"19,034",479,9.0,0.2,"5,119",352,2.4,0.2,"39,539",672,18.8,0.3,"7,924",283,3.8,0.1,"32,406",598,15.4,0.3,"1,953",137,0.9,0.1,"23,889",549,11.3,0.3
..With disability,"15,438","13,962",339,90.4,0.7,"6,907",223,44.7,1.2,"5,401",202,35.0,1.2,"1,289",102,8.4,0.7,368,57,2.4,0.4,"8,323",285,53.9,1.1,"3,532",171,22.9,0.9,"5,744",234,37.2,1.1,468,59,3.0,0.4,"1,476",114,9.6,0.7
..Without disability,"194,434","172,021",700,88.5,0.3,"145,638",879,74.9,0.4,"126,621",914,65.1,0.4,"17,727",457,9.1,0.2,"3,842",262,2.0,0.1,"31,195",581,16.0,0.3,"4,393",227,2.3,0.1,"26,646",525,13.7,0.3,"1,479",116,0.8,0.1,"22,413",525,11.5,0.3
Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, 26 to 64 years old","164,250","145,752",506,88.7,0.3,"121,799",708,74.2,0.4,"105,243",772,64.1,0.5,"14,999",395,9.1,0.2,"3,796",241,2.3,0.1,"28,738",541,17.5,0.3,"7,379",264,4.5,0.2,"22,123",460,13.5,0.3,"1,782",123,1.1,0.1,"18,498",447,11.3,0.3
No high school diploma,"15,197","10,785",301,71.0,1.2,"5,629",224,37.0,1.2,"4,441",197,29.2,1.1,"1,202",103,7.9,0.6,90,27,0.6,0.2,"5,611",232,36.9,1.3,"1,316",101,8.7,0.6,"4,766",211,31.4,1.2,64,22,0.4,0.1,"4,412",221,29.0,1.2
High school graduate (includes equivalency),"44,573","37,952",607,85.1,0.5,"28,646",534,64.3,0.7,"24,181",472,54.2,0.7,"4,083",205,9.2,0.4,800,83,1.8,0.2,"10,881",309,24.4,0.6,"2,917",149,6.5,0.3,"8,563",278,19.2,0.6,494,63,1.1,0.1,"6,622",235,14.9,0.5
"Some college, no degree","24,977","22,316",430,89.3,0.6,"18,423",392,73.8,0.8,"15,916",376,63.7,0.9,"2,130",126,8.5,0.5,680,81,2.7,0.3,"4,829",202,19.3,0.7,"1,249",101,5.0,0.4,"3,581",159,14.3,0.6,458,60,1.8,0.2,"2,661",152,10.7,0.6
Associate's degree,"17,735","16,131",378,91.0,0.6,"13,958",354,78.7,0.8,"12,100",326,68.2,1.0,"1,534",117,8.7,0.6,580,65,3.3,0.4,"2,799",140,15.8,0.7,699,80,3.9,0.4,"2,034",114,11.5,0.6,286,46,1.6,0.3,"1,603",116,9.0,0.6
Bachelor's degree,"39,255","36,811",557,93.8,0.3,"34,235",546,87.2,0.5,"29,844",526,76.0,0.7,"4,094",198,10.4,0.5,970,85,2.5,0.2,"3,330",159,8.5,0.4,820,81,2.1,0.2,"2,392",138,6.1,0.4,306,47,0.8,0.1,"2,443",134,6.2,0.3
Graduate degree or higher,"22,514","21,756",428,96.6,0.4,"20,908",429,92.9,0.5,"18,763",399,83.3,0.7,"1,955",136,8.7,0.6,677,71,3.0,0.3,"1,288",97,5.7,0.4,378,58,1.7,0.3,787,77,3.5,0.3,173,39,0.8,0.2,757,81,3.4,0.4
Firm Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, 15 to 64 years old","210,794","186,905",609,88.7,0.3,"153,467",878,72.8,0.4,"132,196",938,62.7,0.4,"19,034",479,9.0,0.2,"5,119",352,2.4,0.2,"39,539",672,18.8,0.3,"7,924",283,3.8,0.1,"32,406",598,15.4,0.3,"1,953",137,0.9,0.1,"23,889",549,11.3,0.3
Less than 25 employees,"49,725","40,629",556,81.7,0.6,"34,202",527,68.8,0.7,"26,270",450,52.8,0.7,"7,884",290,15.9,0.5,796,88,1.6,0.2,"7,467",231,15.0,0.4,548,74,1.1,0.1,"6,675",212,13.4,0.4,383,52,0.8,0.1,"9,096",318,18.3,0.6
25 to 99 employees,"10,879","9,605",274,88.3,0.9,"8,630",268,79.3,1.1,"7,748",246,71.2,1.2,933,97,8.6,0.8,121,26,1.1,0.2,"1,205",80,11.1,0.7,74,24,0.7,0.2,"1,087",72,10.0,0.6,68,24,0.6,0.2,"1,275",102,11.7,0.9
100 to 499 employees,"19,236","17,780",354,92.4,0.5,"16,458",346,85.6,0.7,"15,468",347,80.4,0.9,944,81,4.9,0.4,294,48,1.5,0.2,"1,840",118,9.6,0.6,121,30,0.6,0.2,"1,625",110,8.4,0.5,149,35,0.8,0.2,"1,456",109,7.6,0.5
500 to 999 employees,"8,037","7,535",238,93.8,0.7,"7,003",220,87.1,0.9,"6,577",219,81.8,1.0,397,53,4.9,0.7,138,30,1.7,0.4,701,70,8.7,0.8,45,21,0.6,0.3,632,65,7.9,0.7,50,20,0.6,0.2,502,63,6.2,0.7
1000 or more employees,"67,344","63,069",674,93.7,0.3,"58,648",667,87.1,0.4,"54,311",670,80.6,0.5,"3,146",163,4.7,0.2,"2,285",197,3.4,0.3,"5,997",219,8.9,0.3,464,63,0.7,0.1,"5,148",205,7.6,0.3,539,64,0.8,0.1,"4,275",189,6.3,0.3
Income-to-Poverty Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, poverty universe","323,172","295,757",643,91.5,0.2,"217,620","1,222",67.3,0.4,"178,228","1,283",55.1,0.4,"34,814",646,10.8,0.2,"8,530",507,2.6,0.2,"110,993",961,34.3,0.3,"57,715",401,17.9,0.1,"57,487",888,17.8,0.3,"3,217",182,1.0,0.1,"27,415",628,8.5,0.2
Below 100 percent of poverty,"38,056","31,844",696,83.7,0.6,"8,357",319,22.0,0.8,"5,182",277,13.6,0.7,"2,942",194,7.7,0.5,405,70,1.1,0.2,"25,433",650,66.8,0.9,"6,984",236,18.4,0.6,"20,556",634,54.0,1.0,313,49,0.8,0.1,"6,212",278,16.3,0.6
Below 138 percent of poverty,"58,204","49,122",783,84.4,0.6,"14,352",419,24.7,0.7,"9,116",344,15.7,0.6,"4,814",243,8.3,0.4,692,98,1.2,0.2,"38,279",748,65.8,0.7,"11,647",321,20.0,0.5,"29,610",733,50.9,0.9,488,59,0.8,0.1,"9,082",361,15.6,0.6
Between 100 and 200 percent of poverty,"55,302","47,783",936,86.4,0.6,"22,986",660,41.6,0.9,"16,110",559,29.1,0.8,"6,168",269,11.2,0.5,"1,090",151,2.0,0.3,"30,069",692,54.4,0.8,"12,449",345,22.5,0.6,"19,169",625,34.7,0.9,556,75,1.0,0.1,"7,519",354,13.6,0.6
Between 200 and 300 percent of poverty,"50,632","45,162",778,89.2,0.5,"32,596",701,64.4,0.8,"25,149",610,49.7,0.8,"6,493",315,12.8,0.6,"1,508",204,3.0,0.4,"18,318",458,36.2,0.8,"9,889",307,19.5,0.6,"8,824",369,17.4,0.7,625,81,1.2,0.2,"5,469",292,10.8,0.5
Between 300 and 400 percent of poverty,"43,624","40,078",719,91.9,0.4,"32,768",640,75.1,0.8,"26,808",617,61.5,1.0,"5,358",272,12.3,0.6,"1,204",132,2.8,0.3,"12,071",356,27.7,0.7,"7,528",259,17.3,0.6,"4,770",263,10.9,0.6,526,64,1.2,0.1,"3,546",203,8.1,0.4
At or above 400 percent of poverty,"135,559","130,890","1,237",96.6,0.2,"120,913","1,212",89.2,0.3,"104,978","1,195",77.4,0.4,"13,852",427,10.2,0.3,"4,323",291,3.2,0.2,"25,102",468,18.5,0.3,"20,865",403,15.4,0.3,"4,166",234,3.1,0.2,"1,197",110,0.9,0.1,"4,669",239,3.4,0.2
Health Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellent,"102,864","95,215","1,037",92.6,0.3,"78,451","1,017",76.3,0.6,"67,333",994,65.5,0.7,"9,918",396,9.6,0.4,"2,807",244,2.7,0.2,"22,181",571,21.6,0.5,"6,188",255,6.0,0.2,"15,911",506,15.5,0.5,403,68,0.4,0.1,"7,649",360,7.4,0.3
Very Good,"103,563","95,201","1,082",91.9,0.3,"75,558",967,73.0,0.5,"63,101",890,60.9,0.6,"10,985",343,10.6,0.3,"2,718",224,2.6,0.2,"29,438",555,28.4,0.4,"13,523",350,13.1,0.3,"16,078",462,15.5,0.4,696,85,0.7,0.1,"8,362",308,8.1,0.3
Good,"81,074","72,467",942,89.4,0.4,"49,311",755,60.8,0.6,"38,727",704,47.8,0.6,"9,453",320,11.7,0.4,"2,008",163,2.5,0.2,"34,205",592,42.2,0.5,"19,880",387,24.5,0.4,"15,404",443,19.0,0.5,"1,124",103,1.4,0.1,"8,607",322,10.6,0.4
Fair,"26,837","24,679",479,92.0,0.5,"11,454",335,42.7,0.9,"7,626",269,28.4,0.8,"3,275",161,12.2,0.6,720,74,2.7,0.3,"18,079",381,67.4,0.9,"12,651",312,47.1,0.8,"7,350",256,27.4,0.8,729,71,2.7,0.3,"2,158",143,8.0,0.5
Poor,"9,331","8,645",302,92.6,0.9,"3,006",166,32.2,1.5,"1,563",111,16.7,1.1,"1,214",106,13.0,1.0,284,55,3.0,0.6,"7,427",276,79.6,1.2,"5,477",219,58.7,1.5,"3,076",167,33.0,1.3,266,48,2.8,0.5,686,85,7.4,0.9
Marital Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, 19 to 64 years old","193,548","170,857",577,88.3,0.3,"142,291",795,73.5,0.4,"122,521",878,63.3,0.5,"17,833",446,9.2,0.2,"4,707",322,2.4,0.2,"34,104",610,17.6,0.3,"7,842",282,4.1,0.1,"27,045",536,14.0,0.3,"1,933",135,1.0,0.1,"22,690",521,11.7,0.3
Married,"101,805","93,342",827,91.7,0.3,"83,769",815,82.3,0.4,"72,682",817,71.4,0.6,"9,059",320,8.9,0.3,"3,569",286,3.5,0.3,"12,812",359,12.6,0.3,"2,980",178,2.9,0.2,"9,666",307,9.5,0.3,921,89,0.9,0.1,"8,463",309,8.3,0.3
Widowed,"3,385","2,921",144,86.3,1.6,"1,882",115,55.6,2.2,"1,416",96,41.8,2.1,460,58,13.6,1.5,49,17,1.5,0.5,"1,182",92,34.9,2.2,529,68,15.6,1.7,734,65,21.7,1.8,61,21,1.8,0.6,464,59,13.7,1.6
Divorced,"18,683","16,255",419,87.0,0.7,"12,093",334,64.7,1.0,"10,241",293,54.8,1.0,"1,807",124,9.7,0.6,263,42,1.4,0.2,"4,719",222,25.3,1.0,"1,521",119,8.1,0.6,"3,386",166,18.1,0.8,435,63,2.3,0.3,"2,428",125,13.0,0.7
