Table with row headers in column A and column headers in rows 7 through 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-01. Health Insurance Coverage Status and Type of Coverage by Selected Characteristics: 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to a processing error that affected the number of employees variable (NOEMP) in the 2020 CPS ASEC file, elements of this table have been revised.  For more information, see <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar20.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar20.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2020 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands, margins of error in thousands or percentage points as appropriate. People as of March of the following year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Any health insurance,,,,Private health insurance,,,,,,,,,,,,,,,,Public health insurance,,,,,,,,,,,,,,,,Uninsured2,,,
,,,,,,Private total,,,,Employment-based,,,,Direct-purchase,,,,TRICARE,,,,Public total,,,,Medicare,,,,Medicaid,,,,VA or CHAMPVA,,,,,,,
White,"247,869","228,488",610,92.2,0.2,"173,795",976,70.1,0.4,"142,811","1,026",57.6,0.4,"27,523",693,11.1,0.3,"6,458",411,2.6,0.2,"83,061",805,33.5,0.3,"48,454",379,19.5,0.2,"37,209",754,15.0,0.3,"2,599",164,1.0,0.1,"19,381",568,7.8,0.2
"..White, not Hispanic","194,518","184,331",484,94.8,0.2,"146,347",853,75.2,0.4,"119,598",929,61.5,0.5,"23,827",617,12.2,0.3,"5,542",356,2.8,0.2,"64,205",688,33.0,0.4,"43,790",357,22.5,0.2,"22,392",631,11.5,0.3,"2,303",153,1.2,0.1,"10,187",426,5.2,0.2
Black,"42,991","38,873",222,90.4,0.5,"23,718",411,55.2,0.9,"20,507",397,47.7,0.9,"2,550",186,5.9,0.4,"1,057",150,2.5,0.3,"17,954",383,41.8,0.9,"6,496",142,15.1,0.3,"12,386",371,28.8,0.9,431,71,1.0,0.2,"4,118",218,9.6,0.5
Asian,"19,905","18,665",236,93.8,0.7,"14,810",261,74.4,1.1,"12,428",294,62.4,1.4,"2,228",192,11.2,1.0,436,80,2.2,0.4,"5,021",192,25.2,0.9,"2,596",94,13.0,0.5,"2,764",185,13.9,0.9,76,22,0.4,0.1,"1,240",146,6.2,0.7
Hispanic (any race),"60,517","50,395",405,83.3,0.7,"31,227",561,51.6,0.9,"26,383",560,43.6,0.9,"4,142",265,6.8,0.4,"1,144",157,1.9,0.3,"21,639",472,35.8,0.8,"5,201",128,8.6,0.2,"17,128",464,28.3,0.8,343,63,0.6,0.1,"10,122",407,16.7,0.7
Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 65 years,"269,908","244,390",696,90.5,0.2,"192,664","1,050",71.4,0.4,"169,322","1,091",62.7,0.4,"19,964",623,7.4,0.2,"6,630",503,2.5,0.2,"59,438",948,22.0,0.3,"7,605",284,2.8,0.1,"52,572",890,19.5,0.3,"1,816",136,0.7,0.1,"25,517",653,9.5,0.2
..Under 19 years 4,"76,636","72,642",298,94.8,0.3,"48,778",525,63.6,0.7,"43,336",497,56.5,0.6,"3,977",219,5.2,0.3,"2,015",195,2.6,0.3,"26,261",521,34.3,0.7,240,54,0.3,0.1,"25,919",512,33.8,0.7,153,46,0.2,0.1,"3,994",228,5.2,0.3
....Under 3 years 5,"10,777","10,189",135,94.5,0.7,"6,594",152,61.2,1.3,"5,770",160,53.5,1.4,472,67,4.4,0.6,414,66,3.8,0.6,"3,943",156,36.6,1.3,33,16,0.3,0.2,"3,887",151,36.1,1.3,41,22,0.4,0.2,588,75,5.5,0.7
....3 to 5 years,"11,932","11,423",121,95.7,0.5,"7,340",169,61.5,1.3,"6,501",171,54.5,1.4,603,66,5.1,0.6,319,48,2.7,0.4,"4,457",172,37.4,1.4,26,14,0.2,0.1,"4,421",171,37.1,1.4,14,10,0.1,0.1,509,60,4.3,0.5
....6 to 11 years,"24,395","23,173",129,95.0,0.4,"15,312",236,62.8,1.0,"13,622",216,55.8,0.9,"1,237",103,5.1,0.4,634,80,2.6,0.3,"8,606",236,35.3,1.0,49,22,0.2,0.1,"8,516",235,34.9,0.9,49,23,0.2,0.1,"1,222",105,5.0,0.4
....12 to 18 years,"29,533","27,857",198,94.3,0.5,"19,532",264,66.1,0.9,"17,443",260,59.1,0.9,"1,664",117,5.6,0.4,647,88,2.2,0.3,"9,255",246,31.3,0.8,132,40,0.4,0.1,"9,095",244,30.8,0.8,50,21,0.2,0.1,"1,676",133,5.7,0.5
..19 to 64 years,"193,272","171,748",603,88.9,0.3,"143,887",747,74.4,0.4,"125,986",810,65.2,0.4,"15,987",502,8.3,0.3,"4,614",346,2.4,0.2,"33,178",613,17.2,0.3,"7,365",269,3.8,0.1,"26,653",555,13.8,0.3,"1,662",120,0.9,0.1,"21,523",537,11.1,0.3
....19 to 25 years 6,"29,605","25,403",302,85.8,0.7,"20,954",292,70.8,0.8,"17,998",303,60.8,0.9,"2,622",166,8.9,0.6,805,106,2.7,0.4,"5,094",214,17.2,0.7,354,61,1.2,0.2,"4,780",210,16.1,0.7,58,22,0.2,0.1,"4,202",229,14.2,0.7
....26 to 34 years,"40,511","35,132",283,86.7,0.5,"28,951",346,71.5,0.7,"25,572",345,63.1,0.8,"2,967",180,7.3,0.4,"1,086",125,2.7,0.3,"7,215",237,17.8,0.6,790,87,1.9,0.2,"6,391",231,15.8,0.6,326,51,0.8,0.1,"5,379",215,13.3,0.5
....35 to 44 years,"41,412","36,696",227,88.6,0.5,"31,296",302,75.6,0.7,"28,146",329,68.0,0.8,"2,733",152,6.6,0.4,915,103,2.2,0.2,"6,461",232,15.6,0.6,"1,005",106,2.4,0.3,"5,511",205,13.3,0.5,375,55,0.9,0.1,"4,716",219,11.4,0.5
....45 to 64 years,"81,744","74,517",350,91.2,0.3,"62,686",443,76.7,0.5,"54,270",480,66.4,0.5,"7,665",288,9.4,0.4,"1,807",167,2.2,0.2,"14,407",382,17.6,0.5,"5,216",227,6.4,0.3,"9,971",302,12.2,0.4,903,85,1.1,0.1,"7,227",267,8.8,0.3
65 and over,"54,642","54,048",294,98.9,0.1,"28,183",419,51.6,0.7,"13,682",350,25.0,0.6,"13,206",337,24.2,0.6,"1,904",123,3.5,0.2,"51,249",312,93.8,0.3,"51,174",310,93.7,0.3,"3,279",181,6.0,0.3,"1,405",115,2.6,0.2,594,80,1.1,0.1
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,"159,103","145,074",420,91.2,0.2,"109,124",624,68.6,0.4,"91,005",660,57.2,0.4,"15,650",410,9.8,0.3,"4,454",285,2.8,0.2,"51,667",542,32.5,0.3,"26,881",327,16.9,0.2,"26,229",517,16.5,0.3,"2,196",145,1.4,0.1,"14,029",390,8.8,0.2
Female,"165,446","153,364",376,92.7,0.2,"111,724",696,67.5,0.4,"92,000",653,55.6,0.4,"17,521",449,10.6,0.3,"4,080",264,2.5,0.2,"59,021",576,35.7,0.3,"31,898",203,19.3,0.1,"29,623",540,17.9,0.3,"1,025",92,0.6,0.1,"12,082",369,7.3,0.2
Nativity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native-born,"279,653","261,519",806,93.5,0.2,"194,926","1,113",69.7,0.4,"162,102","1,143",58.0,0.4,"28,216",684,10.1,0.2,"7,974",491,2.9,0.2,"96,843",910,34.6,0.3,"51,642",452,18.5,0.2,"48,099",852,17.2,0.3,"3,067",187,1.1,0.1,"18,134",566,6.5,0.2
Foreign-born,"44,897","36,920",633,82.2,0.7,"25,921",525,57.7,0.8,"20,903",472,46.6,0.8,"4,954",262,11.0,0.6,560,83,1.2,0.2,"13,844",388,30.8,0.7,"7,137",231,15.9,0.5,"7,753",331,17.3,0.7,153,36,0.3,0.1,"7,977",333,17.8,0.7
..Naturalized citizen,"22,750","20,773",485,91.3,0.6,"14,556",422,64.0,1.1,"11,743",368,51.6,1.1,"2,641",193,11.6,0.8,428,72,1.9,0.3,"8,334",271,36.6,1.0,"5,641",208,24.8,0.8,"3,486",203,15.3,0.8,128,32,0.6,0.1,"1,977",146,8.7,0.6
..Not a citizen,"22,147","16,147",429,72.9,1.1,"11,366",370,51.3,1.2,"9,159",348,41.4,1.2,"2,314",170,10.4,0.8,132,33,0.6,0.1,"5,511",245,24.9,1.0,"1,496",107,6.8,0.5,"4,267",237,19.3,1.0,25,12,0.1,0.1,"6,000",298,27.1,1.1
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"55,080","52,469",301,95.3,0.4,"38,985",545,70.8,0.9,"33,356",546,60.6,0.9,"5,698",313,10.3,0.6,710,215,1.3,0.4,"19,797",465,35.9,0.9,"10,434",256,18.9,0.5,"10,340",396,18.8,0.7,321,58,0.6,0.1,"2,611",202,4.7,0.4
Midwest,"67,486","63,639",356,94.3,0.4,"49,384",524,73.2,0.7,"41,499",564,61.5,0.8,"7,638",330,11.3,0.5,"1,206",158,1.8,0.2,"22,640",520,33.5,0.8,"12,647",279,18.7,0.4,"10,694",427,15.8,0.6,660,84,1.0,0.1,"3,846",283,5.7,0.4
South,"124,084","110,384",632,89.0,0.4,"80,678",836,65.0,0.6,"65,787",797,53.0,0.6,"11,705",496,9.4,0.4,"4,385",429,3.5,0.3,"40,697",593,32.8,0.5,"22,619",360,18.2,0.3,"19,294",546,15.5,0.4,"1,392",116,1.1,0.1,"13,701",520,11.0,0.4
West,"77,900","71,946",347,92.4,0.4,"51,800",621,66.5,0.8,"42,363",626,54.4,0.8,"8,129",391,10.4,0.5,"2,232",224,2.9,0.3,"27,553",564,35.4,0.7,"13,079",294,16.8,0.4,"15,524",515,19.9,0.7,848,86,1.1,0.1,"5,953",308,7.6,0.4
Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Less than $25,000","37,401","32,487",700,86.9,0.6,"9,682",366,25.9,0.9,"5,388",267,14.4,0.6,"3,899",235,10.4,0.6,545,111,1.5,0.3,"26,537",616,71.0,0.8,"13,177",343,35.2,0.8,"16,038",524,42.9,1.0,419,54,1.1,0.1,"4,914",253,13.1,0.6
"$25,000 to less than $50,000","56,136","48,951",912,87.2,0.6,"25,472",634,45.4,0.8,"17,842",502,31.8,0.8,"6,968",323,12.4,0.5,"1,127",142,2.0,0.2,"31,011",721,55.2,0.8,"14,753",439,26.3,0.7,"17,130",587,30.5,0.8,776,84,1.4,0.1,"7,185",349,12.8,0.6
"$50,000 to less than $75,000","52,801","47,301",968,89.6,0.5,"34,022",802,64.4,0.8,"26,851",674,50.9,0.8,"6,129",335,11.6,0.6,"1,751",198,3.3,0.4,"20,048",615,38.0,0.9,"10,167",332,19.3,0.5,"10,187",452,19.3,0.7,656,94,1.2,0.2,"5,500",294,10.4,0.5
"$75,000 to less than $100,000","42,800","39,589",905,92.5,0.5,"32,739",795,76.5,0.9,"27,184",745,63.5,1.1,"4,727",281,11.0,0.6,"1,455",180,3.4,0.4,"11,210",437,26.2,0.8,"6,277",271,14.7,0.6,"5,078",315,11.9,0.7,425,65,1.0,0.1,"3,211",234,7.5,0.5
"$100,000 to less than $125,000","35,355","33,121",880,93.7,0.6,"29,024",782,82.1,0.9,"25,178",726,71.2,1.1,"3,195",237,9.0,0.6,"1,067",143,3.0,0.4,"7,484",362,21.2,0.8,"4,497",236,12.7,0.6,"3,020",258,8.5,0.6,287,51,0.8,0.1,"2,234",226,6.3,0.6
"$125,000 to less than $150,000","24,084","23,103",802,95.9,0.7,"20,802",746,86.4,1.0,"18,179",684,75.5,1.2,"2,314",206,9.6,0.8,694,111,2.9,0.5,"4,175",273,17.3,1.0,"2,703",200,11.2,0.7,"1,426",181,5.9,0.7,218,52,0.9,0.2,981,163,4.1,0.7
"$150,000 or more","75,972","73,886","1,311",97.3,0.2,"69,105","1,230",91.0,0.4,"62,383","1,157",82.1,0.6,"5,939",329,7.8,0.4,"1,896",195,2.5,0.2,"10,223",379,13.5,0.4,"7,206",304,9.5,0.4,"2,972",216,3.9,0.3,440,73,0.6,0.1,"2,086",190,2.7,0.2
Work Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 15 to 64 years old","210,228","187,693",621,89.3,0.3,"155,265",783,73.9,0.4,"136,116",849,64.7,0.4,"16,957",518,8.1,0.2,"5,011",381,2.4,0.2,"38,248",668,18.2,0.3,"7,458",278,3.5,0.1,"31,611",609,15.0,0.3,"1,696",123,0.8,0.1,"22,535",571,10.7,0.3
All workers,"157,181","141,123",734,89.8,0.3,"127,061",740,80.8,0.3,"113,640",792,72.3,0.4,"12,255",390,7.8,0.2,"3,513",260,2.2,0.2,"17,526",409,11.2,0.3,"1,358",97,0.9,0.1,"15,454",391,9.8,0.2,"1,095",97,0.7,0.1,"16,059",441,10.2,0.3
"..Worked full-time, year-round","112,803","102,711",689,91.1,0.3,"96,778",696,85.8,0.3,"88,182",687,78.2,0.4,"7,467",298,6.6,0.3,"2,497",203,2.2,0.2,"7,934",254,7.0,0.2,487,57,0.4,0.1,"6,802",234,6.0,0.2,731,80,0.6,0.1,"10,091",334,8.9,0.3
"..Less than full-time, year-round","44,379","38,411",548,86.6,0.5,"30,283",488,68.2,0.7,"25,457",465,57.4,0.8,"4,788",222,10.8,0.5,"1,016",100,2.3,0.2,"9,592",303,21.6,0.6,871,84,2.0,0.2,"8,652",297,19.5,0.6,364,54,0.8,0.1,"5,968",234,13.4,0.5
Did not work at least one week,"53,047","46,571",552,87.8,0.5,"28,204",473,53.2,0.7,"22,477",432,42.4,0.7,"4,702",227,8.9,0.4,"1,498",163,2.8,0.3,"20,722",458,39.1,0.7,"6,100",258,11.5,0.5,"16,158",411,30.5,0.7,601,71,1.1,0.1,"6,476",272,12.2,0.5
Disability Status7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 15 to 64 years old","210,228","187,693",621,89.3,0.3,"155,265",783,73.9,0.4,"136,116",849,64.7,0.4,"16,957",518,8.1,0.2,"5,011",381,2.4,0.2,"38,248",668,18.2,0.3,"7,458",278,3.5,0.1,"31,611",609,15.0,0.3,"1,696",123,0.8,0.1,"22,535",571,10.7,0.3
With disability,"15,056","13,787",361,91.6,0.6,"7,117",273,47.3,1.3,"5,699",243,37.9,1.3,"1,118",95,7.4,0.6,418,70,2.8,0.5,"7,891",272,52.4,1.3,"3,305",183,22.0,1.1,"5,603",227,37.2,1.2,379,52,2.5,0.3,"1,268",96,8.4,0.6
Without disability,"194,194","172,932",726,89.1,0.3,"147,174",820,75.8,0.4,"130,216",893,67.1,0.4,"15,832",502,8.2,0.3,"3,629",276,1.9,0.1,"30,326",567,15.6,0.3,"4,154",198,2.1,0.1,"26,003",531,13.4,0.3,"1,291",103,0.7,0.1,"21,262",548,10.9,0.3
Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 26 to 64 years old","163,666","146,345",488,89.4,0.3,"122,932",659,75.1,0.4,"107,988",720,66.0,0.4,"13,365",443,8.2,0.3,"3,809",289,2.3,0.2,"28,084",565,17.2,0.3,"7,011",262,4.3,0.2,"21,874",489,13.4,0.3,"1,604",121,1.0,0.1,"17,321",445,10.6,0.3
No high school diploma,"13,733","9,822",352,71.5,1.3,"5,346",242,38.9,1.3,"4,338",216,31.6,1.3,"1,012",110,7.4,0.8,59,22,0.4,0.2,"4,923",246,35.9,1.4,"1,205",112,8.8,0.8,"4,163",215,30.3,1.2,45,17,0.3,0.1,"3,911",202,28.5,1.3
High school graduate (includes equivalency),"43,630","37,134",576,85.1,0.5,"28,030",513,64.2,0.7,"24,042",465,55.1,0.7,"3,656",200,8.4,0.4,796,87,1.8,0.2,"10,556",322,24.2,0.7,"2,691",174,6.2,0.4,"8,450",280,19.4,0.6,414,64,0.9,0.1,"6,496",257,14.9,0.5
"Some college, no degree","24,315","21,840",385,89.8,0.6,"17,923",354,73.7,0.8,"15,575",347,64.1,0.9,"1,882",117,7.7,0.5,769,87,3.2,0.4,"4,785",195,19.7,0.8,"1,256",93,5.2,0.4,"3,577",168,14.7,0.7,376,53,1.5,0.2,"2,474",149,10.2,0.6
Associate's degree,"17,998","16,483",397,91.6,0.7,"14,272",349,79.3,0.9,"12,556",326,69.8,1.0,"1,399",103,7.8,0.5,553,64,3.1,0.4,"2,848",166,15.8,0.8,679,73,3.8,0.4,"2,150",150,11.9,0.7,223,39,1.2,0.2,"1,515",124,8.4,0.7
Bachelor's degree,"40,563","38,393",580,94.7,0.4,"35,535",572,87.6,0.6,"31,559",557,77.8,0.7,"3,649",203,9.0,0.5,998,113,2.5,0.3,"3,710",189,9.1,0.4,846,88,2.1,0.2,"2,673",167,6.6,0.4,400,62,1.0,0.2,"2,170",154,5.3,0.4
Graduate degree or higher,"23,428","22,672",454,96.8,0.4,"21,827",440,93.2,0.5,"19,919",412,85.0,0.8,"1,767",138,7.5,0.6,634,90,2.7,0.4,"1,262",97,5.4,0.4,334,45,1.4,0.2,861,82,3.7,0.3,147,34,0.6,0.1,756,97,3.2,0.4
Firm Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, workers age 15 to 64","157,181","141,123",734,89.8,0.3,"127,061",740,80.8,0.3,"113,640",792,72.3,0.4,"12,255",390,7.8,0.2,"3,513",260,2.2,0.2,"17,526",409,11.2,0.3,"1,358",97,0.9,0.1,"15,454",391,9.8,0.2,"1,095",97,0.7,0.1,"16,059",441,10.2,0.3
Less than 25 employees,"50,400","41,434",588,82.2,0.6,"34,791",546,69.0,0.7,"27,508",459,54.6,0.7,"7,386",293,14.7,0.5,671,83,1.3,0.2,"7,710",260,15.3,0.5,516,69,1.0,0.1,"7,002",255,13.9,0.5,341,50,0.7,0.1,"8,966",324,17.8,0.6
25 to 99 employees,"11,104","9,700",245,87.4,1.1,"8,619",242,77.6,1.2,"7,738",236,69.7,1.3,894,87,8.1,0.8,152,34,1.4,0.3,"1,353",103,12.2,0.9,113,32,1.0,0.3,"1,170",96,10.5,0.9,85,28,0.8,0.3,"1,404",130,12.6,1.1
100 to 499 employees,"18,226","16,902",364,92.7,0.6,"15,646",363,85.8,0.8,"14,805",356,81.2,0.9,873,81,4.8,0.4,283,53,1.6,0.3,"1,634",116,9.0,0.6,133,30,0.7,0.2,"1,455",113,8.0,0.6,94,25,0.5,0.1,"1,324",114,7.3,0.6
500 to 999 employees,"8,276","7,773",253,93.9,0.8,"7,215",241,87.2,1.1,"6,840",238,82.6,1.3,344,57,4.2,0.7,121,34,1.5,0.4,775,83,9.4,0.9,76,28,0.9,0.3,687,76,8.3,0.9,32,13,0.4,0.2,504,71,6.1,0.8
1000 or more employees,"69,176","65,314",741,94.4,0.3,"60,789",729,87.9,0.4,"56,748",696,82.0,0.5,"2,758",164,4.0,0.2,"2,286",186,3.3,0.3,"6,054",230,8.8,0.3,520,58,0.8,0.1,"5,141",210,7.4,0.3,543,65,0.8,0.1,"3,862",175,5.6,0.3
Income-to-Poverty Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, poverty universe","324,048","297,976",694,92.0,0.2,"220,691","1,118",68.1,0.3,"182,866","1,138",56.4,0.4,"33,158",775,10.2,0.2,"8,527",523,2.6,0.2,"110,317",968,34.0,0.3,"58,778",408,18.1,0.1,"55,481",928,17.1,0.3,"3,221",188,1.0,0.1,"26,072",656,8.0,0.2
Below 100 percent of poverty,"33,879","28,481",702,84.1,0.8,"7,769",372,22.9,0.9,"5,172",302,15.3,0.8,"2,225",180,6.6,0.5,474,95,1.4,0.3,"22,550",589,66.6,1.0,"6,441",258,19.0,0.7,"17,887",532,52.8,1.1,201,40,0.6,0.1,"5,398",301,15.9,0.8
Below 138 percent of poverty,"52,816","44,663",815,84.6,0.6,"13,288",468,25.2,0.8,"8,949",408,16.9,0.7,"3,816",233,7.2,0.4,705,117,1.3,0.2,"34,825",693,65.9,0.8,"11,012",325,20.9,0.5,"26,546",607,50.3,0.8,367,53,0.7,0.1,"8,153",364,15.4,0.6
Between 100 and 199 percent of poverty,"51,349","44,098",892,85.9,0.6,"20,467",626,39.9,1.0,"14,650",545,28.5,0.9,"5,276",277,10.3,0.5,929,171,1.8,0.3,"28,518",748,55.5,1.0,"11,730",376,22.8,0.6,"18,367",621,35.8,1.0,527,65,1.0,0.1,"7,251",351,14.1,0.6
Between 200 and 299 percent of poverty,"48,924","43,538",871,89.0,0.5,"30,812",775,63.0,0.9,"23,571",665,48.2,0.9,"6,327",338,12.9,0.6,"1,479",195,3.0,0.4,"18,273",544,37.3,0.9,"9,841",347,20.1,0.7,"8,858",410,18.1,0.7,641,76,1.3,0.2,"5,386",285,11.0,0.5
Between 300 and 399 percent of poverty,"43,078","39,483",891,91.7,0.5,"31,284",775,72.6,0.8,"25,660",701,59.6,0.9,"4,821",283,11.2,0.6,"1,333",163,3.1,0.4,"12,719",453,29.5,0.8,"7,629",318,17.7,0.6,"5,267",301,12.2,0.6,531,70,1.2,0.2,"3,596",244,8.3,0.5
At or above 400 percent of poverty,"146,818","142,376","1,461",97.0,0.2,"130,358","1,366",88.8,0.3,"113,813","1,277",77.5,0.4,"14,510",475,9.9,0.3,"4,313",301,2.9,0.2,"28,257",564,19.2,0.3,"23,139",494,15.8,0.3,"5,102",269,3.5,0.2,"1,320",114,0.9,0.1,"4,442",259,3.0,0.2
Health Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellent,"105,551","98,369","1,137",93.2,0.3,"81,530","1,098",77.2,0.6,"70,045","1,013",66.4,0.6,"9,829",424,9.3,0.4,"3,127",279,3.0,0.3,"22,419",582,21.2,0.5,"6,192",263,5.9,0.2,"16,115",516,15.3,0.5,459,75,0.4,0.1,"7,181",328,6.8,0.3
Very Good,"106,446","97,921","1,097",92.0,0.3,"78,854",987,74.1,0.6,"66,985",920,62.9,0.6,"10,528",378,9.9,0.3,"2,592",212,2.4,0.2,"29,235",636,27.5,0.5,"14,336",338,13.5,0.3,"15,018",524,14.1,0.5,796,97,0.7,0.1,"8,525",362,8.0,0.3
Good,"78,889","71,065",870,90.1,0.4,"46,930",767,59.5,0.7,"36,989",685,46.9,0.7,"8,939",320,11.3,0.4,"1,880",150,2.4,0.2,"35,394",617,44.9,0.7,"20,957",374,26.6,0.4,"15,412",500,19.5,0.6,"1,143",93,1.4,0.1,"7,824",363,9.9,0.4
Fair,"25,371","23,211",498,91.5,0.6,"10,735",335,42.3,0.9,"7,342",279,28.9,0.9,"2,854",161,11.2,0.6,709,80,2.8,0.3,"16,937",425,66.8,1.0,"12,313",352,48.5,1.0,"6,499",265,25.6,0.9,594,73,2.3,0.3,"2,159",150,8.5,0.6
