Table with row headers in column A and column headers in rows 7 through 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-01. Health Insurance Coverage Status and Type of Coverage by Selected Characteristics for All People: 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands, margins of error in thousands or percentage points as appropriate. People as of March of the following year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Any health insurance,,,,Private health insurance,,,,,,,,,,,,,,,,Public health insurance,,,,,,,,,,,,,,,,Uninsured2,,,
,,,,,,Private total,,,,Employment-based,,,,Direct-purchase,,,,TRICARE,,,,Public total,,,,Medicare,,,,Medicaid,,,,VA or CHAMPVA,,,,,,,
..19 to 64 years,"194,855","172,209",600,88.4,0.3,"141,344",710,72.5,0.4,"122,488",805,62.9,0.4,"17,034",505,8.7,0.3,"4,592",348,2.4,0.2,"36,483",608,18.7,0.3,"7,383",308,3.8,0.2,"30,071",562,15.4,0.3,"1,789",141,0.9,0.1,"22,646",591,11.6,0.3
....19 to 25 years 6,"29,045","24,726",280,85.1,0.6,"19,812",296,68.2,0.8,"16,776",306,57.8,0.9,"2,592",179,8.9,0.6,828,135,2.8,0.5,"5,582",214,19.2,0.7,418,68,1.4,0.2,"5,235",213,18.0,0.7,41,16,0.1,0.1,"4,318",194,14.9,0.6
....26 to 34 years,"40,312","34,886",306,86.5,0.6,"28,447",336,70.6,0.8,"24,973",336,61.9,0.8,"3,105",170,7.7,0.4,943,117,2.3,0.3,"7,592",258,18.8,0.6,736,85,1.8,0.2,"6,777",255,16.8,0.6,371,67,0.9,0.2,"5,426",246,13.5,0.6
....35 to 44 years,"43,190","38,036",258,88.1,0.6,"31,767",295,73.6,0.7,"27,972",293,64.8,0.7,"3,298",173,7.6,0.4,"1,051",114,2.4,0.3,"7,559",260,17.5,0.6,"1,093",105,2.5,0.2,"6,524",256,15.1,0.6,385,54,0.9,0.1,"5,154",249,11.9,0.6
....45 to 64 years,"82,308","74,560",307,90.6,0.4,"61,318",443,74.5,0.5,"52,768",479,64.1,0.6,"8,040",311,9.8,0.4,"1,771",166,2.2,0.2,"15,749",405,19.1,0.5,"5,137",254,6.2,0.3,"11,534",346,14.0,0.4,992,104,1.2,0.1,"7,748",306,9.4,0.4
65 and over,"56,193","55,538",88,98.8,0.1,"27,378",447,48.7,0.8,"13,684",371,24.4,0.7,"12,288",335,21.9,0.6,"1,876",143,3.3,0.3,"52,559",174,93.5,0.3,"52,476",177,93.4,0.3,"4,183",200,7.4,0.4,"1,256",121,2.2,0.2,655,69,1.2,0.1
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,"161,758","146,604",477,90.6,0.3,"107,186",651,66.3,0.4,"88,898",659,55.0,0.4,"15,904",414,9.8,0.3,"4,274",301,2.6,0.2,"54,672",522,33.8,0.3,"27,403",261,16.9,0.2,"29,043",467,18.0,0.3,"2,199",149,1.4,0.1,"15,154",465,9.4,0.3
Female,"166,316","154,283",399,92.8,0.2,"109,179",586,65.6,0.4,"89,387",630,53.7,0.4,"17,651",399,10.6,0.2,"4,025",255,2.4,0.2,"62,422",535,37.5,0.3,"32,823",218,19.7,0.1,"32,897",513,19.8,0.3,951,91,0.6,0.1,"12,033",396,7.2,0.2
Nativity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Native-born,"281,229","263,172",908,93.6,0.2,"190,775","1,132",67.8,0.4,"157,996","1,141",56.2,0.4,"28,344",627,10.1,0.2,"7,789",504,2.8,0.2,"102,229",908,36.4,0.3,"52,721",431,18.7,0.1,"53,239",797,18.9,0.3,"2,997",181,1.1,0.1,"18,057",551,6.4,0.2
Foreign-born,"46,845","37,715",632,80.5,0.8,"25,591",562,54.6,0.9,"20,289",486,43.3,0.8,"5,211",274,11.1,0.6,510,76,1.1,0.2,"14,865",426,31.7,0.8,"7,504",247,16.0,0.5,"8,702",375,18.6,0.8,154,35,0.3,0.1,"9,130",398,19.5,0.8
..Naturalized citizen,"22,877","21,078",451,92.1,0.6,"14,301",407,62.5,1.2,"11,603",370,50.7,1.2,"2,549",158,11.1,0.6,394,65,1.7,0.3,"8,863",299,38.7,1.1,"5,815",229,25.4,0.9,"4,089",217,17.9,0.9,112,30,0.5,0.1,"1,799",143,7.9,0.6
..Not a citizen,"23,968","16,637",454,69.4,1.3,"11,290",381,47.1,1.2,"8,686",319,36.2,1.1,"2,662",204,11.1,0.8,116,34,0.5,0.1,"6,003",284,25.0,1.1,"1,689",130,7.0,0.5,"4,612",270,19.2,1.1,42,18,0.2,0.1,"7,331",368,30.6,1.3
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"56,065","53,111",318,94.7,0.4,"38,153",598,68.1,1.0,"32,039",634,57.1,1.1,"6,019",304,10.7,0.5,774,126,1.4,0.2,"21,755",587,38.8,1.0,"10,900",310,19.4,0.6,"12,251",487,21.9,0.9,328,67,0.6,0.1,"2,954",241,5.3,0.4
Midwest,"67,933","64,170",337,94.5,0.4,"48,222",568,71.0,0.8,"40,754",599,60.0,0.9,"7,081",332,10.4,0.5,"1,131",162,1.7,0.2,"23,990",615,35.3,0.9,"13,014",309,19.2,0.4,"11,857",515,17.5,0.7,622,93,0.9,0.1,"3,762",251,5.5,0.4
South,"126,144","111,825",572,88.6,0.4,"79,818",798,63.3,0.6,"63,675",748,50.5,0.6,"13,017",445,10.3,0.3,"4,498",447,3.6,0.4,"42,849",635,34.0,0.5,"23,178",388,18.4,0.3,"21,336",537,16.9,0.4,"1,351",119,1.1,0.1,"14,319",518,11.4,0.4
West,"77,933","71,780",371,92.1,0.4,"50,172",596,64.4,0.7,"41,817",580,53.7,0.7,"7,437",313,9.5,0.4,"1,895",181,2.4,0.2,"28,500",503,36.6,0.6,"13,134",252,16.9,0.3,"16,498",474,21.2,0.6,850,91,1.1,0.1,"6,152",311,7.9,0.4
Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Less than $25,000","39,563","34,095",768,86.2,0.8,"9,535",384,24.1,0.9,"4,989",259,12.6,0.6,"4,184",236,10.6,0.6,570,106,1.4,0.3,"28,260",713,71.4,0.9,"13,928",397,35.2,0.9,"17,481",584,44.2,0.9,422,74,1.1,0.2,"5,468",329,13.8,0.8
"$25,000 to less than $50,000","52,295","45,818",932,87.6,0.6,"22,357",574,42.8,0.8,"15,100",488,28.9,0.8,"6,597",303,12.6,0.6,"1,104",160,2.1,0.3,"30,142",768,57.6,0.9,"14,444",413,27.6,0.7,"16,925",569,32.4,0.8,665,89,1.3,0.2,"6,478",322,12.4,0.6
"$50,000 to less than $75,000","51,792","46,286",944,89.4,0.5,"31,043",710,59.9,0.9,"24,176",659,46.7,1.0,"6,069",319,11.7,0.6,"1,415",186,2.7,0.4,"21,339",639,41.2,0.9,"10,297",351,19.9,0.6,"11,568",510,22.3,0.8,594,77,1.1,0.1,"5,506",286,10.6,0.5
"$75,000 to less than $100,000","41,533","37,951",885,91.4,0.6,"30,128",715,72.5,0.9,"24,941",651,60.1,1.0,"4,520",286,10.9,0.7,"1,172",156,2.8,0.4,"12,424",511,29.9,0.9,"6,315",282,15.2,0.6,"6,234",378,15.0,0.8,433,75,1.0,0.2,"3,581",249,8.6,0.6
"$100,000 to less than $125,000","35,351","33,199",869,93.9,0.5,"28,229",736,79.9,0.9,"24,546",698,69.4,1.1,"3,209",265,9.1,0.7,899,148,2.5,0.4,"8,167",398,23.1,0.9,"4,364",239,12.3,0.6,"3,828",319,10.8,0.8,333,57,0.9,0.2,"2,153",186,6.1,0.5
"$125,000 to less than $150,000","25,262","23,996",753,95.0,0.6,"21,131",684,83.6,1.0,"18,474",653,73.1,1.2,"2,223",191,8.8,0.8,889,133,3.5,0.5,"5,205",313,20.6,1.0,"3,048",208,12.1,0.8,"2,162",217,8.6,0.8,219,48,0.9,0.2,"1,266",164,5.0,0.6
"$150,000 or more","82,278","79,542","1,161",96.7,0.3,"73,942","1,128",89.9,0.4,"66,059","1,051",80.3,0.6,"6,753",323,8.2,0.4,"2,250",237,2.7,0.3,"11,557",444,14.0,0.5,"7,830",334,9.5,0.4,"3,742",261,4.5,0.3,485,72,0.6,0.1,"2,735",205,3.3,0.3
Work Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 15 to 64 years old","212,530","188,864",628,88.9,0.3,"152,738",743,71.9,0.4,"132,539",855,62.4,0.4,"18,140",528,8.5,0.2,"4,979",376,2.3,0.2,"42,305",680,19.9,0.3,"7,469",305,3.5,0.1,"35,792",641,16.8,0.3,"1,818",144,0.9,0.1,"23,667",624,11.1,0.3
All workers,"155,775","139,347",666,89.5,0.3,"124,170",685,79.7,0.4,"110,636",772,71.0,0.4,"12,444",391,8.0,0.3,"3,412",279,2.2,0.2,"18,913",434,12.1,0.3,"1,273",115,0.8,0.1,"16,911",420,10.9,0.3,"1,109",110,0.7,0.1,"16,428",476,10.5,0.3
"..Worked full-time, year-round","111,015","100,936",627,90.9,0.3,"94,415",608,85.0,0.3,"86,164",690,77.6,0.5,"7,192",289,6.5,0.3,"2,360",200,2.1,0.2,"8,798",263,7.9,0.2,505,71,0.5,0.1,"7,617",247,6.9,0.2,781,86,0.7,0.1,"10,079",356,9.1,0.3
"..Less than full-time, year-round","44,760","38,412",454,85.8,0.5,"29,755",415,66.5,0.7,"24,472",377,54.7,0.7,"5,252",231,11.7,0.5,"1,053",125,2.4,0.3,"10,116",299,22.6,0.6,768,83,1.7,0.2,"9,295",289,20.8,0.6,328,58,0.7,0.1,"6,348",250,14.2,0.5
Did not work at least one week,"56,756","49,517",578,87.2,0.5,"28,568",444,50.3,0.7,"21,903",389,38.6,0.6,"5,696",281,10.0,0.5,"1,566",152,2.8,0.3,"23,392",497,41.2,0.7,"6,196",285,10.9,0.5,"18,881",441,33.3,0.7,709,92,1.2,0.2,"7,239",302,12.8,0.5
Disability Status7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 15 to 64 years old","212,530","188,864",628,88.9,0.3,"152,738",743,71.9,0.4,"132,539",855,62.4,0.4,"18,140",528,8.5,0.2,"4,979",376,2.3,0.2,"42,305",680,19.9,0.3,"7,469",305,3.5,0.1,"35,792",641,16.8,0.3,"1,818",144,0.9,0.1,"23,667",624,11.1,0.3
With disability,"16,780","15,359",431,91.5,0.7,"7,766",292,46.3,1.1,"6,035",245,36.0,1.1,"1,525",122,9.1,0.7,446,63,2.7,0.4,"8,774",322,52.3,1.3,"3,427",184,20.4,1.0,"6,543",271,39.0,1.2,415,62,2.5,0.4,"1,420",122,8.5,0.7
Without disability,"194,836","172,593",737,88.6,0.3,"144,060",755,73.9,0.4,"126,355",870,64.9,0.4,"16,605",511,8.5,0.3,"3,637",284,1.9,0.1,"33,485",632,17.2,0.3,"4,042",219,2.1,0.1,"29,217",591,15.0,0.3,"1,389",129,0.7,0.1,"22,243",602,11.4,0.3
Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, 26 to 64 years old","165,810","147,482",536,88.9,0.3,"121,532",628,73.3,0.4,"105,713",702,63.8,0.4,"14,442",422,8.7,0.3,"3,764",281,2.3,0.2,"30,900",540,18.6,0.3,"6,965",296,4.2,0.2,"24,835",488,15.0,0.3,"1,748",140,1.1,0.1,"18,328",516,11.1,0.3
No high school diploma,"13,604","9,491",336,69.8,1.3,"4,664",207,34.3,1.1,"3,730",184,27.4,1.1,937,85,6.9,0.6,63,22,0.5,0.2,"5,222",236,38.4,1.3,"1,067",105,7.8,0.7,"4,629",218,34.0,1.3,35,18,0.3,0.1,"4,114",215,30.2,1.3
High school graduate (includes equivalency),"45,600","38,437",572,84.3,0.7,"27,996",512,61.4,0.9,"23,772",489,52.1,0.8,"3,922",205,8.6,0.5,779,91,1.7,0.2,"12,035",370,26.4,0.7,"2,981",194,6.5,0.4,"9,743",339,21.4,0.7,418,65,0.9,0.1,"7,163",322,15.7,0.7
"Some college, no degree","23,509","21,003",418,89.3,0.6,"16,773",389,71.3,0.9,"14,343",363,61.0,1.1,"2,144",141,9.1,0.6,669,80,2.8,0.3,"5,194",213,22.1,0.8,"1,154",104,4.9,0.4,"4,078",192,17.3,0.8,404,61,1.7,0.3,"2,506",140,10.7,0.6
Associate's degree,"17,729","16,233",351,91.6,0.6,"13,681",311,77.2,0.9,"11,850",303,66.8,1.1,"1,562",124,8.8,0.7,542,75,3.1,0.4,"3,197",164,18.0,0.8,681,74,3.8,0.4,"2,495",144,14.1,0.7,304,47,1.7,0.3,"1,496",116,8.4,0.6
Bachelor's degree,"41,218","38,974",537,94.6,0.4,"36,157",516,87.7,0.5,"31,915",511,77.4,0.7,"3,925",194,9.5,0.5,"1,078",123,2.6,0.3,"3,691",177,9.0,0.4,695,73,1.7,0.2,"2,794",154,6.8,0.4,410,59,1.0,0.1,"2,244",149,5.4,0.4
Graduate degree or higher,"24,150","23,345",483,96.7,0.3,"22,261",482,92.2,0.6,"20,101",449,83.2,0.7,"1,953",143,8.1,0.6,634,79,2.6,0.3,"1,561",126,6.5,0.5,387,60,1.6,0.2,"1,097",110,4.5,0.5,177,42,0.7,0.2,805,85,3.3,0.3
Firm Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, workers 15 to 64 years old","155,775","139,347",666,89.5,0.3,"124,170",685,79.7,0.4,"110,636",772,71.0,0.4,"12,444",391,8.0,0.3,"3,412",279,2.2,0.2,"18,913",434,12.1,0.3,"1,273",115,0.8,0.1,"16,911",420,10.9,0.3,"1,109",110,0.7,0.1,"16,428",476,10.5,0.3
Less than 25 employees,"49,215","40,019",574,81.3,0.6,"33,047",514,67.1,0.7,"25,896",472,52.6,0.8,"7,161",283,14.6,0.5,732,103,1.5,0.2,"8,087",310,16.4,0.6,508,78,1.0,0.2,"7,437",284,15.1,0.5,312,52,0.6,0.1,"9,196",346,18.7,0.6
25 to 99 employees,"10,460","9,228",310,88.2,1.0,"8,158",288,78.0,1.2,"7,283",280,69.6,1.3,852,80,8.1,0.8,176,45,1.7,0.4,"1,344",96,12.9,0.9,93,28,0.9,0.3,"1,190",96,11.4,0.9,88,28,0.8,0.3,"1,231",115,11.8,1.0
100 to 499 employees,"17,955","16,717",358,93.1,0.6,"15,419",349,85.9,0.8,"14,488",330,80.7,1.0,881,85,4.9,0.4,304,58,1.7,0.3,"1,734",134,9.7,0.7,128,37,0.7,0.2,"1,520",122,8.5,0.7,104,29,0.6,0.2,"1,238",115,6.9,0.6
500 to 999 employees,"8,048","7,515",243,93.4,0.9,"7,049",234,87.6,1.0,"6,612",223,82.2,1.2,410,64,5.1,0.8,139,34,1.7,0.4,645,64,8.0,0.8,41,17,0.5,0.2,594,61,7.4,0.7,17,12,0.2,0.1,533,74,6.6,0.9
1000 or more employees,"70,096","65,868",611,94.0,0.3,"60,496",596,86.3,0.4,"56,357",594,80.4,0.5,"3,140",207,4.5,0.3,"2,061",192,2.9,0.3,"7,103",273,10.1,0.4,503,69,0.7,0.1,"6,171",259,8.8,0.4,588,76,0.8,0.1,"4,229",211,6.0,0.3
Income-to-Poverty Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"....Total, poverty universe","327,548","300,418",755,91.7,0.2,"216,248","1,076",66.0,0.3,"178,195","1,120",54.4,0.3,"33,528",703,10.2,0.2,"8,299",527,2.5,0.2,"116,697",913,35.6,0.3,"60,224",378,18.4,0.1,"61,544",845,18.8,0.3,"3,151",192,1.0,0.1,"27,130",727,8.3,0.2
Below 100 percent of poverty,"37,808","31,697",808,83.8,0.8,"8,552",403,22.6,0.9,"5,092",269,13.5,0.7,"3,189",248,8.4,0.6,495,116,1.3,0.3,"25,225",716,66.7,1.0,"7,453",298,19.7,0.7,"19,919",618,52.7,1.0,208,49,0.6,0.1,"6,111",338,16.2,0.8
Below 138 percent of poverty,"56,839","47,917",967,84.3,0.7,"13,606",512,23.9,0.8,"8,467",368,14.9,0.6,"4,644",272,8.2,0.5,799,141,1.4,0.2,"37,750",815,66.4,0.8,"12,363",366,21.8,0.6,"28,682",716,50.5,0.8,351,63,0.6,0.1,"8,922",415,15.7,0.7
Between 100 and 199 percent of poverty,"52,533","45,595",944,86.8,0.5,"20,276",503,38.6,0.8,"14,052",447,26.7,0.8,"5,568",275,10.6,0.5,"1,008",144,1.9,0.3,"30,161",783,57.4,0.8,"12,671",380,24.1,0.6,"19,499",659,37.1,0.8,517,77,1.0,0.1,"6,938",297,13.2,0.5
Between 200 and 299 percent of poverty,"49,916","44,438",918,89.0,0.6,"29,988",711,60.1,0.8,"22,982",635,46.0,0.8,"6,240",352,12.5,0.7,"1,246",167,2.5,0.3,"19,625",524,39.3,0.8,"9,826",293,19.7,0.6,"10,404",453,20.8,0.8,539,74,1.1,0.1,"5,478",297,11.0,0.6
Between 300 and 399 percent of poverty,"42,688","38,888",845,91.1,0.5,"30,360",749,71.1,0.9,"25,106",720,58.8,1.1,"4,666",256,10.9,0.6,"1,120",155,2.6,0.4,"13,142",445,30.8,0.8,"7,703",304,18.0,0.6,"5,712",335,13.4,0.7,497,66,1.2,0.2,"3,799",239,8.9,0.5
At or above 400 percent of poverty,"144,603","139,799","1,302",96.7,0.2,"127,072","1,246",87.9,0.3,"110,962","1,169",76.7,0.4,"13,866",491,9.6,0.3,"4,430",334,3.1,0.2,"28,545",556,19.7,0.4,"22,572",446,15.6,0.3,"6,009",307,4.2,0.2,"1,389",113,1.0,0.1,"4,804",271,3.3,0.2
Health Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellent,"98,070","91,120","1,191",92.9,0.3,"73,692","1,091",75.1,0.6,"63,376",983,64.6,0.6,"8,749",414,8.9,0.4,"2,621",237,2.7,0.2,"22,431",596,22.9,0.6,"5,697",258,5.8,0.3,"16,761",546,17.1,0.5,329,60,0.3,0.1,"6,950",317,7.1,0.3
Very Good,"107,795","99,068","1,252",91.9,0.4,"77,499","1,145",71.9,0.6,"65,136","1,062",60.4,0.6,"11,267",424,10.5,0.4,"2,574",242,2.4,0.2,"31,904",716,29.6,0.6,"15,161",403,14.1,0.3,"17,050",553,15.8,0.5,712,92,0.7,0.1,"8,727",391,8.1,0.4
Good,"85,448","76,704","1,011",89.8,0.4,"50,558",807,59.2,0.6,"39,981",769,46.8,0.6,"9,516",324,11.1,0.4,"2,053",160,2.4,0.2,"37,321",654,43.7,0.6,"21,487",386,25.1,0.4,"17,216",538,20.1,0.5,"1,188",109,1.4,0.1,"8,744",389,10.2,0.4
Fair,"27,941","25,699",537,92.0,0.5,"11,862",359,42.5,0.9,"8,203",313,29.4,0.9,"3,067",179,11.0,0.6,799,100,2.9,0.3,"18,472",419,66.1,0.9,"12,795",341,45.8,1.0,"7,833",266,28.0,0.7,664,78,2.4,0.3,"2,242",158,8.0,0.5
Poor,"8,820","8,296",290,94.1,0.8,"2,756",166,31.2,1.7,"1,589",127,18.0,1.4,956,102,10.8,1.1,252,49,2.9,0.6,"6,966",267,79.0,1.3,"5,086",225,57.7,1.7,"3,080",179,34.9,1.5,257,47,2.9,0.5,524,67,5.9,0.8
Marital Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
